kind,change,term,triples_in_v2
class,added,Academic,
class,added,AcademicConference,
class,added,AmericanLeader,
class,added,Archbishop,
class,added,Battery,
class,added,BoxingLeague,
class,added,ChristianPatriarch,
class,added,Cinema,
class,added,CityDistrict,
class,added,CombinationDrug,
class,added,ConcentrationCamp,
class,added,CyclingLeague,
class,added,Dancer,
class,added,Deity,
class,added,FormerMunicipality,
class,added,GovernmentalAdministrativeRegion,
class,added,HistoricalEvent,
class,added,Identifier,
class,added,Image,
class,added,JewishLeader,
class,added,LatterDaySaint,
class,added,MedicalSpecialty,
class,added,MilitaryService,
class,added,MonoclonalAntibody,
class,added,Municipality,
class,added,Outbreak,
class,added,Pandemic,
class,added,Pharaoh,
class,added,Pilot,
class,added,PoliceOfficer,
class,added,PoliticalFunction,
class,added,Pretender,
class,added,Priest,
class,added,Rebbe,
class,added,Sailor,
class,added,SpaceMission,
class,added,SportsClub,
class,added,Spy,
class,added,Tenure,
class,added,TimeInterval,
class,added,TopLevelDomain,
class,added,Vaccine,
class,added,Youtuber,
class,added,book,
class,added,building,
class,added,work,
class,added,WebSite,
class,added,Property,
class,added,SpatialThing,
class,added,Concept,
class,added,Q11424,
class,added,Q12973014,
class,added,Q14296,
class,added,Q178885,
class,added,Q19730508,
class,added,Q2020153,
class,added,Q2066131,
class,added,Q2133344,
class,added,Q234460,
class,added,Q2385804,
class,added,Q24229398,
class,added,Q267298,
class,added,Q41253,
class,added,Q42603,
class,added,Q42973,
class,added,Q4830453,
class,added,Q495513,
class,added,Q6545185,
class,added,Q838948,
class,added,Q930752,
class,added,Q9655,
class,removed,AnimangaCharacter,
class,removed,ArtificialSatellite,
class,removed,CanadianFootballTeam,
class,removed,Gene,
class,removed,GeneLocation,
class,removed,Gnetophytes,
class,removed,GreenAlga,
class,removed,HollywoodCartoon,
class,removed,HumanGene,
class,removed,HumanGeneLocation,
class,removed,Monarch,
class,removed,MountainRange,
class,removed,MouseGene,
class,removed,MouseGeneLocation,
class,removed,Murderer,
class,removed,Non-ProfitOrganisation,
class,removed,OfficeHolder,
class,removed,OlympicResult,
class,removed,RaceHorse,
class,removed,Satellite,
class,removed,Spacecraft,
class,removed,Valley,
class,removed,VideogamesLeague,
class,removed,Wikidata:Q11424,
class,removed,Hospital,
class,removed,WebPage,
class,removed,DesignedArtifact,
class,removed,FunctionalSubstance,
class,removed,PlanExecution,
class,removed,Situation,
class,removed,Q116,
class,removed,Q16266334,
class,removed,Q163740,
class,removed,Q16917,
class,removed,Q34770,
class,removed,Q39816,
class,removed,Q40218,
class,removed,Q46831,
class,removed,Q7187,
class,removed,Q737498,
predicate,added,length,34011
predicate,added,height,9879
predicate,added,wheelbase,7299
predicate,added,floorArea,5473
predicate,added,course,3630
predicate,added,distance,3577
predicate,added,pistonStroke,942
predicate,added,cylinderBore,892
predicate,added,displacement,653
predicate,added,powerOutput,535
predicate,added,torqueOutput,313
predicate,added,shoreLength,191
predicate,added,diameter,180
predicate,added,areaOfCatchment,178
predicate,added,volume,161
predicate,added,weight,155
predicate,added,timeInSpace,106
predicate,added,length,43
predicate,added,height,38
predicate,added,width,36
predicate,added,density,12
predicate,added,boilingPoint,2
predicate,added,meltingPoint,2
predicate,added,diameter,2
predicate,added,meltingPoint,1
predicate,removed,access,
predicate,removed,actScore,
predicate,removed,added,
predicate,removed,aircraftHelicopterTransport,
predicate,removed,alias,
predicate,removed,animal,
predicate,removed,animator,
predicate,removed,areaOfCatchmentQuote,
predicate,removed,assistantPrincipal,
predicate,removed,associatedAct,
predicate,removed,atcPrefix,
predicate,removed,atcSuffix,
predicate,removed,atcSupplemental,
predicate,removed,athletics,
predicate,removed,availableSmartCard,
predicate,removed,bibsysId,
predicate,removed,biome,
predicate,removed,bnfId,
predicate,removed,bpnId,
predicate,removed,brainInfoNumber,
predicate,removed,brainInfoType,
predicate,removed,building,
predicate,removed,bustSize,
predicate,removed,capitalCountry,
predicate,removed,capitalElevation,
predicate,removed,capitalMountain,
predicate,removed,capitalPlace,
predicate,removed,capitalRegion,
predicate,removed,casSupplemental,
predicate,removed,centuryBreaks,
predicate,removed,certification,
predicate,removed,certificationDate,
predicate,removed,chairLabel,
predicate,removed,coachedTeam,
predicate,removed,commonName,
predicate,removed,compiler,
predicate,removed,complexity,
predicate,removed,contractAward,
predicate,removed,currentRank,
predicate,removed,custodian,
predicate,removed,dateCompleted,
predicate,removed,dateConstruction,
predicate,removed,dateOfBurial,
predicate,removed,daylightSavingTimeZone,
predicate,removed,debut,
predicate,removed,dfE,
predicate,removed,discharge,
predicate,removed,dischargeAverage,
predicate,removed,dorlandsPrefix,
predicate,removed,dorlandsSuffix,
predicate,removed,elevationQuote,
predicate,removed,endPoint,
predicate,removed,ensembl,
predicate,removed,episodeNumber,
predicate,removed,extinctionDate,
predicate,removed,extinctionYear,
predicate,removed,fansgroup,
predicate,removed,firstFlight,
predicate,removed,firstGame,
predicate,removed,firstWin,
predicate,removed,flag,
predicate,removed,flagBearer,
predicate,removed,fuelCapacity,
predicate,removed,fuelConsumption,
predicate,removed,geneLocation,
predicate,removed,geneLocationEnd,
predicate,removed,geneLocationStart,
predicate,removed,genomeDB,
predicate,removed,geologicPeriod,
predicate,removed,geology,
predicate,removed,government,
predicate,removed,governmentCountry,
predicate,removed,governmentElevation,
predicate,removed,governmentMountain,
predicate,removed,governmentPlace,
predicate,removed,governmentRegion,
predicate,removed,grayPage,
predicate,removed,graySubject,
predicate,removed,guest,
predicate,removed,hasJunctionWith,
predicate,removed,highestBreak,
predicate,removed,highestMountain,
predicate,removed,highestRegion,
predicate,removed,highestState,
predicate,removed,hipSize,
predicate,removed,homeArena,
predicate,removed,individualisedGnd,
predicate,removed,internationally,
predicate,removed,isniId,
predicate,removed,issDockings,
predicate,removed,lastFlight,
predicate,removed,lastPosition,
predicate,removed,lastWin,
predicate,removed,launches,
predicate,removed,lccnId,
