class,population,share
Thing,4995957,1.00000000
Agent,1855262,0.37135268
Agent,1855262,0.37135268
Person,1587944,0.31784581
NaturalPerson,1587944,0.31784581
Person,1587944,0.31784581
Q215627,1587944,0.31784581
Person,1587944,0.31784581
Q5,1587944,0.31784581
TimePeriod,1021177,0.20440068
CareerStation,890186,0.17818128
Place,801334,0.16039650
Place,801334,0.16039650
Location,801334,0.16039650
Q486972,499185,0.09991779
PopulatedPlace,499185,0.09991779
Q386724,479356,0.09594878
Work,479356,0.09594878
CreativeWork,479356,0.09594878
Settlement,466677,0.09341093
