class,predicate,ent_etimp,entf_bits,etimp
Thing,name,394.561017,21.389602,2476558.3246
Thing,name,376.179992,21.578656,1993010.4896
Thing,label,372.924143,21.693934,1894379.9352
Thing,title,306.738735,18.402463,1420517.5185
Thing,team,269.416202,12.831748,2493660.7241
Thing,description,265.860641,12.659715,2462319.3040
Thing,shortDescription,265.526109,12.638929,2462057.0981
Agent,name,261.222404,20.950194,506381.1886
Agent,name,261.222404,20.950194,506381.1886
Person,name,247.513434,20.705696,422790.8713
Person,name,247.513434,20.705696,422790.8713
Q215627,name,247.513434,20.705696,422790.8713
NaturalPerson,name,247.513434,20.705696,422790.8713
Person,name,247.513434,20.705696,422790.8713
Agent,label,245.408800,20.551228,417875.8025
Agent,label,245.408800,20.551228,417875.8025
Person,label,241.692884,20.276421,409337.5263
Person,label,241.692884,20.276421,409337.5263
Q215627,label,241.692884,20.276421,409337.5263
NaturalPerson,label,241.692884,20.276421,409337.5263
Person,label,241.692884,20.276421,409337.5263
Thing,birthPlace,239.867484,11.942761,1943440.9362
Agent,dateOfBirth,233.648211,15.047928,874620.6713
Agent,dateOfBirth,233.648211,15.047928,874620.6713
Person,dateOfBirth,216.414838,15.048103,643728.7471
Person,dateOfBirth,216.414838,15.048103,643728.7471
Q215627,dateOfBirth,216.414838,15.048103,643728.7471
NaturalPerson,dateOfBirth,216.414838,15.048103,643728.7471
Person,dateOfBirth,216.414838,15.048103,643728.7471
Agent,birthPlace,212.912406,12.796904,980593.7199
Agent,birthPlace,212.912406,12.796904,980593.7199
Person,birthPlace,204.901059,12.796924,841124.0662
Person,birthPlace,204.901059,12.796924,841124.0662
Q215627,birthPlace,204.901059,12.796924,841124.0662
NaturalPerson,birthPlace,204.901059,12.796924,841124.0662
Person,birthPlace,204.901059,12.796924,841124.0662
Agent,birthPlace,202.364479,11.942761,984516.4105
Agent,birthPlace,202.364479,11.942761,984516.4105
Agent,description,198.365551,12.656964,763618.3175
Agent,description,198.365551,12.656964,763618.3175
Agent,shortDescription,198.161499,12.638725,763778.3270
Agent,shortDescription,198.161499,12.638725,763778.3270
Person,birthPlace,194.142704,11.943045,833948.1940
Person,birthPlace,194.142704,11.943045,833948.1940
Q215627,birthPlace,194.142704,11.943045,833948.1940
NaturalPerson,birthPlace,194.142704,11.943045,833948.1940
Person,birthPlace,194.142704,11.943045,833948.1940
Person,description,178.157467,12.656964,496852.4626
Person,description,178.157467,12.656964,496852.4626
Q215627,description,178.157467,12.656964,496852.4626
NaturalPerson,description,178.157467,12.656964,496852.4626
Person,description,178.157467,12.656964,496852.4626
Person,shortDescription,178.024979,12.638219,497583.7403
Person,shortDescription,178.024979,12.638219,497583.7403
Q215627,shortDescription,178.024979,12.638219,497583.7403
NaturalPerson,shortDescription,178.024979,12.638219,497583.7403
Person,shortDescription,178.024979,12.638219,497583.7403
Agent,name,152.199208,20.886372,58892.5728
Agent,name,152.199208,20.886372,58892.5728
Agent,birthYear,142.454353,7.804814,866194.2064
Agent,birthYear,142.454353,7.804814,866194.2064
Person,birthYear,131.655351,7.804814,631926.3150
Person,birthYear,131.655351,7.804814,631926.3150
Q215627,birthYear,131.655351,7.804814,631926.3150
NaturalPerson,birthYear,131.655351,7.804814,631926.3150
Person,birthYear,131.655351,7.804814,631926.3150
Thing,subdivisionType,127.982022,5.800369,1374766.5985
Person,name,123.763184,20.680877,26525.2240
Person,name,123.763184,20.680877,26525.2240
Q215627,name,123.763184,20.680877,26525.2240
NaturalPerson,name,123.763184,20.680877,26525.2240
Person,name,123.763184,20.680877,26525.2240
Agent,type,0.000000,4.465909,0.0000
Person,type,0.000000,4.009349,0.0000
Person,type,0.000000,4.009349,0.0000
Q215627,type,0.000000,4.009349,0.0000
Thing,type,0.000000,5.897346,0.0000
Agent,type,0.000000,4.465909,0.0000
NaturalPerson,type,0.000000,4.009349,0.0000
Person,type,0.000000,4.009349,0.0000
