class,predicate,ent_etimp,entf_bits,etimp
Person,careerStation,241.812834,19.898030,433997.4138
Person,label,235.954103,19.813305,398510.1130
Person,currentMember,226.287030,16.693165,563667.0057
Person,birthDate,219.176496,15.510474,618444.4096
Person,team,198.126866,13.419760,637586.7092
Person,name,196.804154,19.571977,200093.5041
Person,occupation,191.824225,13.746557,521233.1350
Person,birthPlace,184.740146,12.270300,630492.0224
Species,synonym,173.107801,17.818394,158730.6926
Person,deathPlace,164.611295,11.532354,478723.3472
Species,binomial,153.778587,17.780071,99490.8106
Species,species,149.374432,17.297191,96200.7124
AdministrativeRegion,populationTotal,72.480957,12.774086,13240.5531
Species,family,69.606142,9.971978,23672.6199
Species,order,57.132116,6.066041,47731.5108
ChemicalCompound,othernames,53.811126,12.355465,4445.4021
ChemicalCompound,name,53.075830,11.490889,5230.2959
ChemicalCompound,iupacName,53.019660,12.867536,3709.0408
AdministrativeRegion,name,52.968410,14.760663,2447.6547
ChemicalCompound,verifiedrevid,52.850732,12.747533,3766.3929
AdministrativeRegion,location,51.216337,8.804277,10082.1454
AdministrativeRegion,dist,49.910396,8.626159,9667.4428
ChemicalCompound,imagefile,43.776933,13.017505,1664.9381
Species,phylum,35.355844,2.563253,92783.4248
Star,propMoRa,33.426033,11.067445,920.8677
Star,mass,33.146445,9.481041,1416.3798
AdministrativeRegion,fromyr,32.723377,6.287689,4612.7431
Star,parallax,32.213337,10.706726,877.3498
AdministrativeRegion,toyr,32.044980,6.298974,4219.2044
Species,class,31.764765,4.025833,15603.2631
AdministrativeRegion,assembly%23_,29.682964,5.521070,4612.7431
Star,class,27.830099,9.958380,607.4253
Star,appmagV,26.194182,10.365532,422.7121
Galaxy,caption,23.221045,9.043352,393.1323
AdministrativeRegion,country,22.830361,3.596103,5841.9092
ChemicalCompound,imagesize,22.442026,3.741866,4841.5407
AdministrativeRegion,label,22.089238,14.607561,76.3818
Species,label,21.827647,18.223540,37.5085
Galaxy,z,21.779531,9.409743,270.0603
Star,name,18.586020,11.493235,78.5993
Species,kingdom,17.271659,1.812495,14945.3323
Galaxy,appmagV,17.237720,7.632262,198.5910
Galaxy,type,16.815931,7.011430,231.9871
Galaxy,sizeV,16.516646,6.507421,270.0603
Star,constell,12.648936,6.354290,99.7734
ChemicalCompound,label,11.951149,13.309050,8.6536
Galaxy,constellationName,10.044749,5.519566,60.5399
Galaxy,name,8.595175,10.809721,4.3209
Star,label,8.147225,11.516685,2.8844
Star,epoch,5.721140,1.864150,165.3818
Galaxy,epoch,4.062717,1.230762,146.1316
ChemicalCompound,watchedfields,0.311347,0.012483,4831.2522
ChemicalCompound,verifiedfields,0.194420,0.006439,5352.1576
Galaxy,label,0.000000,9.823367,0.0000
Galaxy,type,0.000000,2.807355,0.0000
Species,type,0.000000,3.583655,0.0000
ChemicalCompound,type,0.000000,2.321928,0.0000
Person,type,0.000000,4.262378,0.0000
Star,type,0.000000,2.584963,0.0000
AdministrativeRegion,type,0.000000,3.294489,0.0000
