class,predicate,entropy_bits,values,distinct_values
Person,careerStation,19.898030,977021,977021
Person,label,19.813305,921296,921296
Person,name,19.571977,1322197,992498
Species,label,18.223540,306078,306078
Species,synonym,17.818394,238707,235542
Species,binomial,17.780071,225447,225198
Species,species,17.297191,232137,187657
Person,currentMember,16.693165,318670,151870
Person,birthDate,15.510474,630023,79313
AdministrativeRegion,name,14.760663,35880,31594
AdministrativeRegion,label,14.607561,24964,24964
Person,occupation,13.746557,334511,167645
Person,team,13.419760,989904,51343
ChemicalCompound,label,13.309050,10149,10149
ChemicalCompound,imagefile,13.017505,11465,10455
ChemicalCompound,iupacName,12.867536,7496,7480
AdministrativeRegion,populationTotal,12.774086,9906,7981
ChemicalCompound,verifiedrevid,12.747533,6991,6917
ChemicalCompound,othernames,12.355465,10830,8972
Person,birthPlace,12.270300,1007008,96567
Person,deathPlace,11.532354,256662,36778
Star,label,11.516685,2930,2930
Star,name,11.493235,2904,2889
ChemicalCompound,name,11.490889,2885,2880
Star,propMoRa,11.067445,2238,2171
Galaxy,name,10.809721,1801,1797
Star,parallax,10.706726,2266,1812
Star,appmagV,10.365532,2777,1656
Species,family,9.971978,397277,12013
Star,class,9.958380,2553,1506
Galaxy,label,9.823367,906,906
Star,mass,9.481041,2269,1107
Galaxy,z,9.409743,702,686
Galaxy,caption,9.043352,587,556
AdministrativeRegion,location,8.804277,8965,1945
AdministrativeRegion,dist,8.626159,8309,1048
Galaxy,appmagV,7.632262,766,325
Galaxy,type,7.011430,732,286
Galaxy,sizeV,6.507421,697,227
Star,constell,6.354290,2865,159
AdministrativeRegion,toyr,6.298974,10506,159
AdministrativeRegion,fromyr,6.287689,11007,149
Species,order,6.066041,355123,2513
AdministrativeRegion,assembly%23_,5.521070,10205,55
Galaxy,constellationName,5.519566,864,105
Person,type,4.262378,14906137,206
Species,class,4.025833,309064,854
ChemicalCompound,imagesize,3.741866,6168,92
AdministrativeRegion,country,3.596103,20582,230
Species,type,3.583655,2223827,39
AdministrativeRegion,type,3.294489,231725,11
Galaxy,type,2.807355,6342,7
Star,type,2.584963,17592,6
Species,phylum,2.563253,244881,300
ChemicalCompound,type,2.321928,50775,5
Star,epoch,1.864150,2850,57
Species,kingdom,1.812495,296341,58
Galaxy,epoch,1.230762,798,8
ChemicalCompound,watchedfields,0.012483,5561,6
ChemicalCompound,verifiedfields,0.006439,4185,3
