class,population,share
Thing,5465152,0.72249391
TimePeriod,2091566,0.27650534
TimeInterval,2091566,0.27650534
Species,1975461,0.26115624
Eukaryote,1968827,0.26027922
Q19088,1968827,0.26027922
Q729,1957965,0.25884326
Animal,1957965,0.25884326
Person,1860208,0.24591977
Q5,1860208,0.24591977
Person,1860208,0.24591977
Q215627,1860208,0.24591977
Person,1860208,0.24591977
NaturalPerson,1860208,0.24591977
CareerStation,1731520,0.22890720
Location,759924,0.10046207
Place,759924,0.10046207
Place,759924,0.10046207
CreativeWork,623392,0.08241252
Q386724,623392,0.08241252
