class,predicate,ent_etimp,entf_bits,etimp
Thing,name,398.167943,21.161900,2652168.9506
Thing,name,376.972746,20.963965,2191893.9724
Thing,label,345.837460,22.082777,1328394.5742
Thing,title,332.861099,18.835410,1837075.1357
Thing,careerStation,315.061526,20.710971,1109123.9814
Thing,birthPlace,291.935359,14.173783,2550876.8935
Species,careerStation,285.109734,20.710971,743783.9238
Q19088,careerStation,284.993928,20.710971,742576.2166
Eukaryote,careerStation,284.993928,20.710971,742576.2166
Q729,careerStation,284.803163,20.710971,740589.9963
Animal,careerStation,284.803163,20.710971,740589.9963
Species,name,282.808404,20.155550,781241.5077
Q19088,name,282.513884,20.150504,778576.7733
Eukaryote,name,282.513884,20.150504,778576.7733
Q729,name,281.843382,20.145871,771743.9672
Animal,name,281.843382,20.145871,771743.9672
Species,label,268.119581,20.513949,598640.7802
Q19088,label,268.018936,20.507544,598302.6987
Eukaryote,label,268.018936,20.507544,598302.6987
Q729,label,267.851394,20.497009,597728.8005
Animal,label,267.851394,20.497009,597728.8005
Thing,team,254.630978,13.668515,1646193.7548
Species,birthDate,242.279672,15.712274,888281.7659
Q19088,birthDate,241.893581,15.712274,882633.1068
Eukaryote,birthDate,241.893581,15.712274,882633.1068
Q729,birthDate,241.254558,15.712274,873343.2050
Animal,birthDate,241.254558,15.712274,873343.2050
TimeInterval,predecessor,239.030489,16.877679,679008.1558
TimePeriod,predecessor,239.030489,16.877679,679008.1558
TimeInterval,successor,236.190102,16.827811,653076.2954
TimePeriod,successor,236.190102,16.827811,653076.2954
Thing,goals,229.242843,14.022768,1001571.3716
Species,birthPlace,227.084416,14.170129,934604.5510
Q19088,birthPlace,226.762177,14.170129,929310.9142
Eukaryote,birthPlace,226.762177,14.170129,929310.9142
Q729,birthPlace,226.229209,14.170129,920604.8897
Animal,birthPlace,226.229209,14.170129,920604.8897
Species,name,226.144272,20.027274,325594.3642
Q19088,name,225.584901,20.022368,322621.8454
Eukaryote,name,225.584901,20.022368,322621.8454
Q729,name,223.975108,20.018142,313709.5160
Animal,name,223.975108,20.018142,313709.5160
TimeInterval,office,222.105806,14.671332,770603.6058
TimePeriod,office,222.105806,14.671332,770603.6058
Species,team,221.506949,13.661232,944234.3154
Q19088,team,221.385089,13.661232,942158.1803
Eukaryote,team,221.385089,13.661232,942158.1803
Q729,team,221.184237,13.661232,938743.7254
Animal,team,221.184237,13.661232,938743.7254
Species,birthPlace,216.090143,12.955763,1002653.4733
Q19088,birthPlace,215.840818,12.955763,998034.0128
Eukaryote,birthPlace,215.840818,12.955763,998034.0128
Q729,birthPlace,215.428883,12.955763,990436.7525
Animal,birthPlace,215.428883,12.955763,990436.7525
TimeInterval,start,212.085563,13.940045,746881.7804
TimePeriod,start,212.085563,13.940045,746881.7804
TimeInterval,end,207.406946,14.025766,670677.0057
TimePeriod,end,207.406946,14.025766,670677.0057
TimeInterval,team,195.177882,13.557129,582397.1287
TimePeriod,team,195.177882,13.557129,582397.1287
Thing,subdivisionType,147.997793,6.570403,1691394.9573
Species,years,130.208784,6.852752,893235.6079
Q19088,years,130.143461,6.852752,891444.4856
Eukaryote,years,130.143461,6.852752,891444.4856
Q729,years,130.035815,6.852752,888498.7688
Animal,years,130.035815,6.852752,888498.7688
TimeInterval,numberOfMatches,126.711042,6.265263,1048189.9590
TimePeriod,numberOfMatches,126.711042,6.265263,1048189.9590
TimeInterval,years,109.096736,5.757899,742087.3033
TimePeriod,years,109.096736,5.757899,742087.3033
TimeInterval,numberOfGoals,76.891874,3.230327,1037008.0104
TimePeriod,numberOfGoals,76.891874,3.230327,1037008.0104
Species,type,0.000000,4.382278,0.0000
Q19088,type,0.000000,4.380390,0.0000
Q729,type,0.000000,4.374291,0.0000
Thing,type,0.000000,6.018963,0.0000
Animal,type,0.000000,4.374291,0.0000
TimeInterval,type,0.000000,1.832189,0.0000
Eukaryote,type,0.000000,4.380390,0.0000
TimePeriod,type,0.000000,1.832189,0.0000
