class,predicate,ent_etimp,entf_bits,etimp
Species,careerStation,285.109734,20.710971,743783.9238
Person,careerStation,283.018597,20.710971,722201.6963
Species,name,282.808404,20.155550,781241.5077
Person,name,275.068095,20.108345,704096.0389
Species,label,268.119581,20.513949,598640.7802
Person,label,266.286104,20.398415,592385.9556
Species,birthDate,242.279672,15.712274,888281.7659
Person,birthDate,235.082109,15.712274,787337.8884
Species,birthPlace,227.084416,14.170129,934604.5510
Species,name,226.144272,20.027274,325594.3642
Species,team,221.506949,13.661232,944234.3154
Person,birthPlace,221.106156,14.170129,840005.0714
Person,team,219.298238,13.661232,907132.9211
Species,birthPlace,216.090143,12.955763,1002653.4733
Person,birthPlace,211.497974,12.955763,920101.8022
Person,name,206.749726,19.980524,229065.2155
Species,years,130.208784,6.852752,893235.6079
Person,years,129.024397,6.852648,861215.9302
AdministrativeRegion,populationTotal,93.106729,14.121281,26687.1343
AdministrativeRegion,name,87.404450,15.137787,16824.6882
AdministrativeRegion,subdivision,85.570708,12.325610,28633.5544
AdministrativeRegion,subdivisionName,79.705502,11.235986,28452.4504
ChemicalCompound,alternativeName,61.473812,13.719601,5530.1401
ChemicalCompound,verifiedrevid,59.598036,12.705336,6151.3348
AdministrativeRegion,name,57.520137,15.373804,3012.5592
ChemicalCompound,othernames,57.244177,12.471780,5535.2842
ChemicalCompound,iupacName,51.131877,13.539876,2753.7395
AdministrativeRegion,subdivisionType,50.527713,6.149453,28029.1020
ChemicalCompound,imagefile,45.927722,13.259602,1908.5704
ChemicalCompound,pin,45.404658,8.825334,6183.1272
AdministrativeRegion,label,44.209387,15.726804,982.0567
AdministrativeRegion,populationAsOf,39.920931,4.521297,27479.7891
Star,propMoDec,39.886304,11.855122,1519.0674
Star,mass,37.312021,9.505085,2256.9767
AdministrativeRegion,country,35.843312,5.327657,10915.0018
Star,parallax,31.179280,12.039672,541.5273
Galaxy,names,28.527242,10.465168,577.8307
Star,class,27.647253,10.126145,562.6983
Star,appmagV,27.527758,9.945099,583.7892
Star,pError,26.872110,9.834873,548.1518
Galaxy,z,25.850652,10.551769,380.1108
ChemicalCompound,imagesize,24.328641,3.826521,6252.5777
Galaxy,caption,24.113106,10.749286,272.1910
Galaxy,name,20.837796,10.855123,147.4018
Galaxy,name,18.580862,11.506637,78.2381
ChemicalCompound,label,16.235430,13.637983,27.3908
Galaxy,type,15.568643,7.736929,126.8520
Galaxy,label,13.923586,10.939579,28.7080
Star,label,12.457661,12.290595,12.9726
Star,constell,10.625894,6.518920,46.0188
Galaxy,constellationName,9.302333,5.413051,47.2108
Star,epoch,4.375797,1.886430,54.6143
Galaxy,epoch,2.509540,1.008337,38.6865
ChemicalCompound,watchedfields,0.441653,0.017922,6609.6417
Species,type,0.000000,4.382278,0.0000
Galaxy,type,0.000000,2.807355,0.0000
Person,type,0.000000,4.339793,0.0000
AdministrativeRegion,type,0.000000,3.288321,0.0000
Star,type,0.000000,2.584963,0.0000
ChemicalCompound,type,0.000000,2.321928,0.0000
