entity,literal_properties,inforank
List_of_state_highways_in_Louisiana,4690,0.000037897204
List_of_Crayon_Shin-chan_episodes_(1992–2001),4020,0.000032483318
List_of_Advanced_Dungeons_&_Dragons_2nd_edition_monsters,3433,0.000027740107
Constituency_election_results_in_England_in_the_1923_United_Kingdom_general_election,3341,0.000026996708
Results_of_the_2020_Queensland_state_election,3225,0.000026059378
List_of_state_routes_in_Pennsylvania,3155,0.000025493748
Results_of_the_2018_Victorian_state_election_(Legislative_Assembly),3154,0.000025485668
Folktales_from_Japan,2995,0.000024200880
List_of_Nova_episodes,2936,0.000023724135
2021–22_EuroLeague_Regular_Season,2918,0.000023578687
List_of_state_highways_in_Maryland,2868,0.000023174666
2020–21_EuroLeague_Regular_Season,2803,0.000022649438
List_of_state_routes_in_Ohio,2753,0.000022245416
Results_of_the_2012_Queensland_state_election,2708,0.000021881797
Results_of_the_2019_New_South_Wales_state_election_(Legislative_Assembly),2682,0.000021671706
List_of_state_highways_in_Iowa,2667,0.000021550500
Constituency_election_results_in_the_1929_United_Kingdom_general_election,2665,0.000021534339
2019–20_EuroLeague_Regular_Season,2648,0.000021396972
List_of_Extra_Credits_episodes,2605,0.000021049513
Results_of_the_2022_Victorian_state_election_(Legislative_Assembly),2604,0.000021041433
Results_of_the_1999_New_South_Wales_state_election_(Legislative_Assembly),2564,0.000020718216
2022_Isabela_local_elections,2548,0.000020588929
List_of_Chopped_episodes_(seasons_1–20),2535,0.000020483883
2018–19_EuroLeague_Regular_Season,2466,0.000019926334
Results_of_the_2020_New_Hampshire_House_of_Representatives_election,2451,0.000019805127
2017–18_EuroLeague_Regular_Season,2448,0.000019780886
List_of_Crayon_Shin-chan_episodes_(2002–2011),2439,0.000019708162
2018_New_Hampshire_House_of_Representatives_election,2435,0.000019675841
2016–17_EuroLeague_Regular_Season,2433,0.000019659680
Results_of_the_2006_Victorian_state_election_(Legislative_Assembly),2416,0.000019522312
List_of_state_highways_in_Arkansas,2396,0.000019360704
List_of_Debaters_radio_episodes,2392,0.000019328382
Results_of_the_2010_Victorian_state_election_(Legislative_Assembly),2376,0.000019199095
List_of_Yo-kai_Watch_(2014_TV_series)_episodes,2350,0.000018989004
National_Register_of_Historic_Places_listings_in_Los_Angeles,2346,0.000018956683
Results_of_the_2015_New_South_Wales_state_election_(Legislative_Assembly),2310,0.000018665787
List_of_Crayon_Shin-chan_episodes_(2012–present),2281,0.000018431455
List_of_state_routes_in_Georgia_(U.S._state),2280,0.000018423374
List_of_public_art_in_Israel,2275,0.000018382972
Results_of_the_2007_New_South_Wales_state_election_(Legislative_Assembly),2244,0.000018132479
List_of_historic_places_in_Saskatchewan,2230,0.000018019353
List_of_Evolve_Wrestling_events,2217,0.000017914307
Results_of_the_1998_Queensland_state_election,2182,0.000017631492
List_of_shipwrecks_in_1819,2174,0.000017566849
List_of_shipwrecks_in_1815,2170,0.000017534527
Results_of_the_1988_Victorian_state_election_(Legislative_Assembly),2155,0.000017413321
List_of_The_Woodwright's_Shop_episodes,2153,0.000017397160
National_Register_of_Historic_Places_listings_in_Cleveland,2142,0.000017308275
Carlow–Kilkenny_(Dáil_constituency),2109,0.000017041621
2011_County_Championship,2108,0.000017033541
