node,entropy_weighted,unweighted,rank_weighted,rank_unweighted,rank_shift
Australia,18.45201043,111.96983775,1,3,2
The_Honourable,12.50734184,120.76989584,2,1,-1
United_Kingdom,12.11556823,55.98310265,3,8,5
The_Right_Honourable,11.85562156,115.61577447,4,2,-2
United_States,10.42699315,44.08004349,5,11,6
London,10.34676373,46.75717340,6,9,3
England,9.79686235,56.39948832,7,7,0
The_Most_Honourable,8.05751924,100.92219727,8,4,-4
Charles_III,7.56404798,64.09596243,9,5,-4
Winston_Churchill,6.96186671,16.98161677,10,33,23
Conservative_Party_(UK),6.54154916,20.64365149,11,27,16
Queensland,6.48872430,20.71929745,12,26,14
Annastacia_Palaszczuk,5.93877003,15.49557439,13,35,22
Sydney,5.90080251,33.93077283,14,14,0
Brisbane,5.74489478,24.36981410,15,21,6
Australian_Labor_Party_(Victorian_Branch),5.69579969,25.67626798,16,19,3
Elizabeth_II,5.68880691,59.76087250,17,6,-11
Labour_Party_(UK),5.61486413,18.02973071,18,32,14
Member_of_Parliament_(United_Kingdom),5.28119656,9.96565932,19,65,46
Arkansas,5.24765761,13.74582677,20,43,23
Melbourne,5.16132818,23.14867875,21,22,1
Australian_Labor_Party_(Queensland_Branch),4.81729044,21.27195803,22,24,2
New_Hampshire,4.81306667,9.49615248,23,71,48
Pennsylvania,4.56216693,11.07734966,24,55,31
U.S._state,4.26719392,16.77599134,25,34,9
Carlow–Kilkenny_(Dáil_constituency),4.14140564,7.61724790,26,99,73
Louisiana,4.12622901,9.36543173,27,75,48
Public_university,4.10054578,21.22370831,28,25,-3
New_South_Wales,4.05732391,11.03955973,29,56,27
Maryland,4.05643692,10.24833857,30,63,33
Liberal_National_Party_of_Queensland,4.03084580,19.08826457,31,30,-1
Stanley_Baldwin,3.89059757,7.92141372,32,90,58
Iowa,3.79873486,10.94224106,33,57,24
George_VI,3.78995272,44.98016643,34,10,-24
List_of_sovereign_states,3.75816798,15.37981227,35,37,2
North_American_Central_Time_Zone,3.67778985,19.40562433,36,28,-8
Lawrence_Springborg,3.65193988,7.94994239,37,87,50
The_United_States,3.64697121,19.02187259,38,31,-7
Ramsay_MacDonald,3.61597354,7.83936969,39,93,54
Democratic_Party_(United_States),3.60108203,9.98923181,40,64,24
George_V,3.56303954,37.81271384,41,12,-29
Australian_Labor_Party_(New_South_Wales_Branch),3.52978703,15.31268701,42,38,-4
Daniel_Andrews,3.48497473,9.54100900,43,69,26
Peter_Beattie,3.41332764,7.33719535,44,106,62
Australian_Labor_Party,3.36807169,25.33860670,45,20,-25
City,3.35854358,11.13317247,46,54,8
Canberra,3.23381699,30.49792901,47,17,-30
English_language,3.04484501,34.24158529,48,13,-35
Sister_cities,2.98352273,9.51781370,49,70,21
List_of_twin_towns,2.96456475,9.45225999,50,73,23
Prime_Minister_of_the_United_Kingdom,2.94830911,15.47893576,51,36,-15
Victoria_(Australia),2.92678605,10.71384275,52,60,8
Liberal_Party_(UK),2.88140229,8.18257229,53,86,33
Wales,2.85356487,11.62077181,54,52,-2
Clement_Attlee,2.84114226,5.98579060,55,132,77
Liberal_Party_of_Australia_(Victorian_Division),2.80037767,12.01263230,56,49,-7
Gladys_Berejiklian,2.79419210,6.87846723,57,113,56
Dominic_Perrottet,2.77198986,7.80556986,58,95,37
Liberal_Party_of_Australia_(New_South_Wales_Division),2.74168745,12.84849338,59,45,-14
Tim_Nicholls,2.73378946,5.22518445,60,153,93
Anna_Bligh,2.63529493,5.89661092,61,134,73
Campbell_Newman,2.48456862,6.29306671,62,122,60
California,2.48234920,5.19452059,63,156,93
Edward_VIII,2.45131127,30.53866144,64,16,-48
Jeff_Seeney,2.39537841,4.39581182,65,174,109
Liberal_Party_of_Australia,2.30870056,13.88696514,66,42,-24
Unitary_state,2.30293167,19.39181779,67,29,-38
Centrism,2.29401033,31.04100778,68,15,-53
David_Lloyd_George,2.27822094,5.30447541,69,147,78
Republican_Party_(United_States),2.26621091,6.14000960,70,128,58
Public_transport,2.25840318,9.74063557,71,67,-4
