class,predicate,distinct_objects,total_objects,uniqueness
Person,careerStation,1716420,1716420,1.000000
Species,careerStation,1716420,1716420,1.000000
Species,name,1512587,2081195,0.726788
Species,label,1497318,1497318,1.000000
Person,name,1472284,2040242,0.721622
Person,label,1382085,1382085,1.000000
Species,name,1359267,1579232,0.860714
Person,name,1319836,1539333,0.857408
Person,termPeriod,358142,358142,1.000000
Species,termPeriod,358142,358142,1.000000
Species,caption,326651,351757,0.928627
Person,caption,324931,349701,0.929168
Person,occupation,266799,443380,0.601739
Species,occupation,266799,443380,0.601739
Person,birthPlace,248432,1505222,0.165047
Species,birthPlace,248432,1505222,0.165047
Person,spouse,228019,408819,0.557750
Species,spouse,228019,408819,0.557750
Person,birthName,215329,218226,0.986725
Species,birthName,215329,218226,0.986725
Person,fullname,201183,204089,0.985761
Species,fullname,201183,204089,0.985761
Person,predecessor,197263,268993,0.733339
Species,predecessor,197263,268993,0.733339
Person,successor,186829,243357,0.767716
Species,successor,186829,243357,0.767716
Person,currentMember,186535,485270,0.384394
Species,currentMember,186535,485270,0.384394
Person,birthName,166594,170804,0.975352
Species,birthName,166594,170804,0.975352
Species,title,147773,408136,0.362068
Person,title,146778,407117,0.360530
Person,birthPlace,134505,1486252,0.090499
Species,birthPlace,134505,1486252,0.090499
Person,occupation,121890,540465,0.225528
Species,occupation,121890,540466,0.225528
Person,after,110667,148825,0.743605
Species,after,110667,148825,0.743605
Person,before,109096,148368,0.735307
Species,before,109096,148368,0.735307
Person,birthDate,104632,1168571,0.089538
Species,birthDate,104632,1168571,0.089538
Person,deathPlace,104427,470502,0.221948
Species,deathPlace,104427,470502,0.221948
Person,knownFor,97935,122661,0.798420
Species,knownFor,97935,122661,0.798420
Person,office,97750,284646,0.343409
Species,office,97750,284646,0.343409
Person,clubs,97209,1075161,0.090413
Species,clubs,97209,1075161,0.090413
Species,deathDate,94811,464757,0.204001
Person,deathDate,94766,464312,0.204100
Person,birthDate,88712,1000447,0.088672
Species,birthDate,88712,1000447,0.088672
Person,deathDate,78475,363513,0.215879
Species,deathDate,78475,363513,0.215879
Species,binomial,76331,76395,0.999162
Species,species,68171,80092,0.851159
Species,synonym,66577,67179,0.991039
Person,team,65466,1459886,0.044843
Species,team,65466,1459886,0.044843
Person,children,63674,160966,0.395574
Species,children,63674,160966,0.395574
AdministrativeRegion,name,60502,71112,0.850799
Person,spouse,58231,62418,0.932920
Species,spouse,58231,62418,0.932920
Person,website,57873,58906,0.982464
Species,website,57873,58906,0.982464
Person,homepage,57007,57432,0.992600
Species,homepage,57007,57432,0.992600
Person,associatedActs,56009,97880,0.572221
Species,associatedActs,56009,97880,0.572221
Person,knownFor,55886,80847,0.691256
Species,knownFor,55886,80847,0.691256
Person,deathPlace,54438,442069,0.123144
Species,deathPlace,54438,442069,0.123144
AdministrativeRegion,label,54230,54230,1.000000
Person,other,53992,116977,0.461561
Species,other,53992,116977,0.461561
Person,youthclubs,52394,182448,0.287172
Species,youthclubs,52394,182448,0.287172
Species,awards,51946,153352,0.338737
Person,awards,50946,149799,0.340096
Person,termEnd,47161,276373,0.170643
