class,predicate,entropy_bits,values,distinct_values
Thing,label,22.082777,4441996,4441996
Thing,name,21.161900,3799459,3006251
Thing,name,20.963965,4180876,3235631
Thing,careerStation,20.710971,1716420,1716420
Species,careerStation,20.710971,1716420,1716420
Eukaryote,careerStation,20.710971,1716420,1716420
Q19088,careerStation,20.710971,1716420,1716420
Q729,careerStation,20.710971,1716420,1716420
Animal,careerStation,20.710971,1716420,1716420
Species,label,20.513949,1497318,1497318
Eukaryote,label,20.507544,1490685,1490685
Q19088,label,20.507544,1490685,1490685
Q729,label,20.497009,1479839,1479839
Animal,label,20.497009,1479839,1479839
Species,name,20.155550,1579232,1359267
Eukaryote,name,20.150504,1574897,1355010
Q19088,name,20.150504,1574897,1355010
Q729,name,20.145871,1570595,1350869
Animal,name,20.145871,1570595,1350869
Species,name,20.027274,2081195,1512587
Eukaryote,name,20.022368,2076865,1508337
Q19088,name,20.022368,2076865,1508337
Q729,name,20.018142,2072778,1504430
Animal,name,20.018142,2072778,1504430
Thing,title,18.835410,2124274,1111048
TimePeriod,predecessor,16.877679,205460,143078
TimeInterval,predecessor,16.877679,205460,143078
TimePeriod,successor,16.827811,192191,136769
TimeInterval,successor,16.827811,192191,136769
Species,birthDate,15.712274,1168571,104632
Eukaryote,birthDate,15.712274,1168571,104632
Q19088,birthDate,15.712274,1168571,104632
Q729,birthDate,15.712274,1168571,104632
Animal,birthDate,15.712274,1168571,104632
TimePeriod,office,14.671332,292904,120990
TimeInterval,office,14.671332,292904,120990
Thing,birthPlace,14.173783,1528413,250864
Species,birthPlace,14.170129,1505222,248432
Eukaryote,birthPlace,14.170129,1505222,248432
Q19088,birthPlace,14.170129,1505222,248432
Q729,birthPlace,14.170129,1505222,248432
Animal,birthPlace,14.170129,1505222,248432
TimePeriod,end,14.025766,197336,42936
TimeInterval,end,14.025766,197336,42936
Thing,goals,14.022768,2026092,399739
TimePeriod,start,13.940045,240318,44401
TimeInterval,start,13.940045,240318,44401
Thing,team,13.668515,1499737,67270
Species,team,13.661232,1459886,65466
Eukaryote,team,13.661232,1459886,65466
Q19088,team,13.661232,1459886,65466
Q729,team,13.661232,1459886,65466
Animal,team,13.661232,1459886,65466
TimePeriod,team,13.557129,1639095,69589
TimeInterval,team,13.557129,1639095,69589
Species,birthPlace,12.955763,1486252,134505
Eukaryote,birthPlace,12.955763,1486252,134505
Q19088,birthPlace,12.955763,1486252,134505
Q729,birthPlace,12.955763,1486252,134505
Animal,birthPlace,12.955763,1486252,134505
Species,years,6.852752,1380985,15741
Eukaryote,years,6.852752,1380985,15741
Q19088,years,6.852752,1380985,15741
Q729,years,6.852752,1380985,15741
Animal,years,6.852752,1380985,15741
Thing,subdivisionType,6.570403,1685472,5359
TimePeriod,numberOfMatches,6.265263,1040308,676
TimeInterval,numberOfMatches,6.265263,1040308,676
Thing,type,6.018963,47333389,768
TimePeriod,years,5.757899,1481780,297
TimeInterval,years,5.757899,1481780,297
Species,type,4.382278,26762860,246
Eukaryote,type,4.380390,26743318,244
Q19088,type,4.380390,26743318,244
Q729,type,4.374291,26681028,228
Animal,type,4.374291,26681028,228
TimePeriod,numberOfGoals,3.230327,1065056,471
TimeInterval,numberOfGoals,3.230327,1065056,471
TimePeriod,type,1.832189,6291705,9
TimeInterval,type,1.832189,6291705,9
