class,predicate,entropy_bits,values,distinct_values
Person,careerStation,20.710971,1716420,1716420
Species,careerStation,20.710971,1716420,1716420
Species,label,20.513949,1497318,1497318
Person,label,20.398415,1382085,1382085
Species,name,20.155550,1579232,1359267
Person,name,20.108345,1539333,1319836
Species,name,20.027274,2081195,1512587
Person,name,19.980524,2040242,1472284
AdministrativeRegion,label,15.726804,54230,54230
Person,birthDate,15.712274,1168571,104632
Species,birthDate,15.712274,1168571,104632
AdministrativeRegion,name,15.373804,71112,60502
AdministrativeRegion,name,15.137787,41985,38418
Person,birthPlace,14.170129,1505222,248432
Species,birthPlace,14.170129,1505222,248432
AdministrativeRegion,populationTotal,14.121281,29082,21963
ChemicalCompound,alternativeName,13.719601,14186,14012
Person,team,13.661232,1459886,65466
Species,team,13.661232,1459886,65466
ChemicalCompound,label,13.637983,12748,12748
ChemicalCompound,iupacName,13.539876,11957,11932
ChemicalCompound,imagefile,13.259602,14509,13024
Person,birthPlace,12.955763,1486252,134505
Species,birthPlace,12.955763,1486252,134505
ChemicalCompound,verifiedrevid,12.705336,6854,6737
ChemicalCompound,othernames,12.471780,13757,11130
AdministrativeRegion,subdivision,12.325610,51993,15246
Star,label,12.290595,5010,5010
Star,parallax,12.039672,4829,4387
Star,propMoDec,11.855122,3997,3857
Galaxy,name,11.506637,3712,3532
AdministrativeRegion,subdivisionName,11.235986,58179,10492
Galaxy,label,10.939579,1964,1964
Galaxy,name,10.855123,1886,1872
Galaxy,caption,10.749286,1835,1789
Galaxy,z,10.551769,1746,1612
Galaxy,names,10.465168,1622,1551
Star,class,10.126145,5345,2772
Star,appmagV,9.945099,5299,2070
Star,pError,9.834873,4821,1815
Star,mass,9.505085,4189,1423
ChemicalCompound,pin,8.825334,6798,2796
Galaxy,type,7.736929,1920,580
Species,years,6.852752,1380985,15741
Person,years,6.852648,1380972,15734
Star,constell,6.518920,4989,166
AdministrativeRegion,subdivisionType,6.149453,75245,1114
Galaxy,constellationName,5.413051,1953,135
AdministrativeRegion,country,5.327657,47024,432
AdministrativeRegion,populationAsOf,4.521297,27443,350
Species,type,4.382278,26762860,246
Person,type,4.339793,25904017,214
ChemicalCompound,imagesize,3.826521,7363,125
AdministrativeRegion,type,3.288321,504252,24
Galaxy,type,2.807355,13888,7
Star,type,2.584963,30114,6
ChemicalCompound,type,2.321928,63835,5
Star,epoch,1.886430,5028,67
Galaxy,epoch,1.008337,1959,9
ChemicalCompound,watchedfields,0.017922,5775,6
