entity,literal_properties,inforank
List_of_state_highways_in_Louisiana,4893,0.000037238773
List_of_Crayon_Shin-chan_episodes_(1992–2001),4069,0.000030967621
List_of_My_Favorite_Murder_episodes,4016,0.000030564258
2015–16_Haitian_parliamentary_election,3937,0.000029963019
List_of_Chopped_episodes_(season_41–present),3374,0.000025678238
Constituency_election_results_in_England_in_the_1923_United_Kingdom_general_election,3340,0.000025419477
Results_of_the_2020_Queensland_state_election,3249,0.000024726911
2022–23_EuroLeague_regular_season,3225,0.000024544256
2023–24_EuroLeague_regular_season,3179,0.000024194167
List_of_state_routes_in_Pennsylvania,3150,0.000023973459
Results_of_the_2018_Victorian_state_election_(Legislative_Assembly),3147,0.000023950627
2024–25_EuroLeague_regular_season,3139,0.000023889742
Results_of_the_2024_Queensland_state_election,3070,0.000023364609
List_of_Advanced_Dungeons_&_Dragons_2nd_edition_monsters,3003,0.000022854698
Folktales_from_Japan,2995,0.000022793813
2021–22_EuroLeague_regular_season,2919,0.000022215405
List_of_state_highways_in_Maryland,2874,0.000021872927
Results_of_the_2022_Victorian_state_election_(Legislative_Assembly),2807,0.000021363016
2020–21_EuroLeague_regular_season,2803,0.000021332573
Grade_II*_listed_buildings_in_North_Yorkshire_(district),2793,0.000021256467
List_of_state_highways_in_Iowa,2785,0.000021195582
List_of_state_routes_in_Ohio,2757,0.000020982485
Climate_of_China,2736,0.000020822662
Results_of_the_2023_New_South_Wales_state_election_(Legislative_Assembly),2713,0.000020647617
2021_Iraqi_parliamentary_election,2708,0.000020609564
Results_of_the_2019_New_South_Wales_state_election_(Legislative_Assembly),2680,0.000020396467
Results_of_the_2012_Queensland_state_election,2675,0.000020358414
2019–20_EuroLeague_regular_season,2648,0.000020152927
Results_of_the_1999_New_South_Wales_state_election_(Legislative_Assembly),2564,0.000019513635
2022_Isabela_local_elections,2548,0.000019391865
List_of_Crayon_Shin-chan_episodes_(2012–present),2544,0.000019361422
List_of_state_highways_in_Arkansas,2541,0.000019338590
National_Register_of_Historic_Places_listings_in_Los_Angeles,2501,0.000019034165
List_of_Chopped_episodes_(seasons_1–20),2492,0.000018965670
List_of_How_Did_This_Get_Made%3F_episodes,2479,0.000018866732
2018–19_EuroLeague_regular_season,2466,0.000018767794
List_of_The_Return_of_Superman_episodes,2459,0.000018714519
2017–18_EuroLeague_regular_season,2448,0.000018630803
Results_of_the_2020_New_Hampshire_House_of_Representatives_election,2444,0.000018600360
List_of_Crayon_Shin-chan_episodes_(2002–2011),2437,0.000018547086
2016–17_EuroLeague_regular_season,2433,0.000018516643
2018_New_Hampshire_House_of_Representatives_election,2430,0.000018493811
Results_of_the_2006_Victorian_state_election_(Legislative_Assembly),2417,0.000018394873
Results_of_the_2010_Victorian_state_election_(Legislative_Assembly),2377,0.000018090448
List_of_state_highways_in_Kentucky_(1000–1999),2359,0.000017953457
Grade_II*_listed_buildings_in_Westmorland_and_Furness,2352,0.000017900183
List_of_The_Complete_Guide_to_Everything_episodes,2352,0.000017900183
List_of_Yo-kai_Watch_(2014_TV_series)_episodes,2349,0.000017877351
List_of_Pawn_Stars_episodes,2345,0.000017846908
List_of_state_routes_in_Georgia,2296,0.000017473988
