node,entropy_weighted,unweighted,rank_weighted,rank_unweighted,rank_shift
Template:Documentation,111.85190029,560.14379826,1,1,0
Template:Reflist,30.09545376,67.35209811,2,4,2
Template:Short_description,28.75397841,64.34946996,3,5,2
Template:Use_dmy_dates,18.06403772,40.22889504,4,6,2
Template:PAGENAME,17.40162772,108.80570967,5,2,-3
Template:Main_other,15.21323517,68.02003861,6,3,-3
Template:Authority_control,12.95266444,28.82306641,7,7,0
Template:Coord,8.57710612,18.61269349,8,12,4
Template:Use_British_English,8.55951020,19.05255668,9,11,2
Template:S-start,8.39286331,20.15113734,10,9,-1
Template:S-end,8.33226905,20.01395930,11,10,-1
Template:Navbox,7.66589005,17.67351460,12,13,1
Template:S-par,6.67815467,14.47918038,13,14,1
Template:Convert,6.56013563,14.44731996,14,15,1
Template:Use_mdy_dates,6.09071726,13.30782993,15,16,1
Template:DMCA,5.71384104,25.35590328,16,8,-8
Template:Succession_box,5.50443241,11.91525468,17,17,0
Template:Commons_category,4.84397783,10.78734643,18,20,2
Template:Infobox_officeholder,4.72016740,10.30079601,19,22,3
Template:S-ttl,4.59624948,11.31234522,20,19,-1
Template:Hansard-contribs,4.57229535,9.92590469,21,23,2
Template:Collapsible_option,4.46217173,9.90532966,22,24,2
Template:Citation_needed,4.15597212,9.50831082,23,27,4
New_Hampshire,3.95605010,6.65645149,24,37,13
Template:S-bef,3.93930679,9.86664652,25,25,0
Template:Cite_book,3.86360142,8.92538552,26,29,3
Template:Use_American_English,3.84467573,8.18504274,27,30,3
Template:S-aft,3.83212829,9.65110439,28,26,-2
Template:Main,3.69651085,9.01788007,29,28,-1
Template:Langx,3.11168838,7.19978261,30,34,4
Template:Portal,3.02437091,6.84230309,31,35,4
Template:Birth_date_and_age,2.87763263,6.08925837,32,38,6
Template:NAMESPACENUMBER,2.79081743,11.74299241,33,18,-15
Template:Death_date_and_age,2.59840649,5.57606226,34,40,6
Template:See_also,2.38454666,5.81671325,35,39,4
Template:Trim,2.37197440,10.58668729,36,21,-15
Template:Infobox_settlement,2.35832621,4.98555253,37,48,11
Template:Birth_date,2.35088877,5.02386319,38,47,9
Template:Notelist,2.12338292,5.22560119,39,43,4
Template:Efn,2.05656866,5.03539909,40,46,6
Template:About,2.04372823,4.80167037,41,49,8
Template:Use_Australian_English,1.96354674,4.03226141,42,58,16
Template:Small,1.84719791,4.23265906,43,54,11
Template:Redirect_category_shell,1.83473449,4.43823140,44,51,7
Template:Navbox_documentation,1.82236518,4.15629834,45,55,10
Template:Pagetype,1.81474842,7.96386421,46,31,-15
Template:SDcat,1.81474842,7.96386421,47,32,-15
lowercasecheck,1.81474842,7.96386421,48,33,-15
United_States,1.80651102,4.30777175,49,53,4
Template:More_citations_needed,1.80364075,4.06125255,50,57,7
Template:Cite_web,1.76848445,3.89614501,51,63,12
Template:For,1.76281574,3.85396512,52,66,14
Template:!,1.75841746,4.40250231,53,52,-1
Template:Flagicon,1.74433850,3.87153949,54,65,11
Template:S-new,1.74059123,3.71965806,55,68,13
Template:Webarchive,1.71959149,4.10431423,56,56,0
Template:ISBN,1.71664067,3.79401421,57,67,10
Template:Clear,1.70201196,3.95115188,58,61,3
Template:Error,1.67905877,6.84126270,59,36,-23
Template:Refbegin,1.65384180,4.57712705,60,50,-10
Template:Div_col,1.61789319,3.98602777,61,60,-1
Template:Div_col_end,1.58349526,3.89435937,62,64,2
Template:R_from_move,1.56879724,3.93544503,63,62,-1
Template:Infobox_person,1.56640123,3.18051320,64,82,18
Template:Commons_category-inline,1.53929116,3.20741557,65,80,15
Template:Fix,1.53834814,5.34412572,66,42,-24
Template:Sfn,1.53633218,3.64251038,67,69,2
Template:Distinguish,1.52834886,3.48207716,68,71,3
Template:PAGENAMEBASE,1.49535451,5.08714065,69,45,-24
Template:Start_date_and_age,1.48225037,3.39981253,70,74,4
Conservative_Party_(UK),1.47786154,3.30523075,71,76,5
Template:Flag,1.46323009,3.28523592,72,79,7
Template:Refend,1.45701211,3.56659251,73,70,-3
Template:Circa,1.40992911,3.18438282,74,81,7
"Hillsborough_County,_New_Hampshire",1.39719121,2.27833880,75,120,45
Template:US_Census_population,1.39180531,2.89165272,76,88,12
Template:If_empty,1.39172412,5.20390757,77,44,-33
Template:Rayment-hc,1.38338652,2.86099953,78,91,13
Template:S-off,1.37405262,2.98170537,79,86,7
Template:S-reg,1.36177682,2.87412589,80,89,9
United_Kingdom,1.35604949,4.00858983,81,59,-22
Template:As_of,1.31892046,3.29045541,82,78,-4
Template:Post-nominals,1.31633590,2.76466602,83,94,11
Template:Redirect,1.31397395,3.10445791,84,84,0
Template:S-non,1.30553363,2.72850663,85,100,15
Template:Further,1.28091654,3.29864797,86,77,-9
Template:IPA,1.27514975,2.74076423,87,97,10
Template:Cn,1.27192567,2.78576559,88,92,4
Template:IPAc-en,1.26764971,2.77356616,89,93,4
Iowa,1.26206165,2.01082338,90,135,45
Template:In_lang,1.23850075,2.63078864,91,105,14
Template:Center,1.19703490,2.51329845,92,109,17
Template:Infobox_UK_place,1.14829227,2.29566906,93,118,25
Central_Time_Zone,1.14490206,5.39521463,94,41,-53
Template:Cite_journal,1.13714905,2.58765495,95,107,12
Template:Election_box_end,1.12972362,2.62446487,96,106,10
Template:IMDb_name,1.11137098,2.18138130,97,128,31
Template:Blockquote,1.11034335,2.45330715,98,112,14
Template:Election_box_begin,1.07962878,2.50948809,99,110,11
Ramsay_MacDonald,1.07592814,1.86861507,100,145,45
Template:Multiple_image,1.05703567,2.48914230,101,111,10
Template:URL,1.05114991,2.28522036,102,119,17
Member_of_Parliament_(United_Kingdom),1.05047251,1.60242842,103,165,62
Winston_Churchill,1.04022558,1.71515625,104,153,49
London,1.02380134,1.94603130,105,139,34
Template:Nobold,1.01617762,3.14711001,106,83,-23
Clement_Attlee,1.01133207,1.62176118,107,163,56
Template:S-npo,1.01073533,2.05142453,108,133,25
Template:EngvarB,0.99224404,2.06192411,109,131,22
Template:Other_uses,0.98355049,2.10024789,110,130,20
Template:Ambox,0.96764304,2.87235882,111,90,-21
Stanley_Baldwin,0.95553598,1.74709894,112,150,38
Template:Party_color,0.95280864,2.23451994,113,123,10
Template:Pp-move,0.94249283,3.46006962,114,72,-42
Labour_Party_(UK),0.93658523,2.00865026,115,136,21
England,0.91492399,1.80689869,116,146,30
Template:Official_website,0.91102064,1.95807161,117,137,20
Template:Sister_project,0.90710049,3.41541281,118,73,-45
Template:Ubl,0.90376159,2.01809322,119,134,15
Template:Other_people,0.90080625,1.79693472,120,147,27
U.S._state,0.90062323,2.72086593,121,101,-20
List_of_sovereign_states,0.89869773,2.73898488,122,98,-24
Template:Navboxes,0.88892885,2.05969850,123,132,9
Template:Abbr,0.88404524,2.16678949,124,129,5
City,0.85933386,2.26129974,125,121,-4
Template:Color_box,0.85585802,1.92732954,126,141,15
Template:Portal_bar,0.85539516,1.93904786,127,140,13
North_Yorkshire,0.85405902,2.93410245,128,87,-41
Template:Jct,0.85241842,1.63472380,129,160,31
Template:S-ppo,0.85075019,1.77001029,130,149,19
Template:Weather_box,0.84705131,1.77132631,131,148,17
Template:R_from_merge,0.83997733,2.54458793,132,108,-24
Template:Portal-inline,0.83117185,1.74029465,133,151,18
Liberal_Party_(UK),0.82697636,1.73102548,134,152,18
Template:Rp,0.81963810,1.69316625,135,155,20
Louisiana,0.81710724,1.31321239,136,201,65
Template:Country_data,0.81390862,2.72948282,137,99,-38
Democratic_Party_(United_States),0.80985028,1.68817354,138,156,18
Template:Color,0.80778847,1.64402203,139,159,20
Template:Rayment,0.79670059,1.54795851,140,170,30
The_Right_Honourable,0.79212621,2.25807930,141,122,-19
Template:Historical_populations,0.78473768,1.54277138,142,171,29
Template:Jctbtm,0.78399662,1.48310609,143,175,32
Template:Para,0.78146898,2.69898390,144,102,-42
Template:Ill,0.77759204,1.59679956,145,166,21
Template:Replace,0.77182265,2.64753732,146,103,-43
Template:Cvt,0.77010025,1.70081684,147,154,7
Template:Yesno,0.76397415,2.63206127,148,104,-44
Template:S-inc,0.76363848,1.49509687,149,173,24
Template:Postnominals,0.76322082,1.58087995,150,168,18
Template:Respell,0.75796252,1.60959552,151,164,13
Template:Election_box_candidate_with_party_link,0.75738533,1.46071522,152,177,25
Template:England-Labour-UK-MP-stub,0.75537202,1.47635860,153,176,23
Template:Infobox_road,0.75284935,1.41640416,154,187,33
Template:Election_box_turnout,0.75127917,1.44593818,155,184,29
Template:Election_box_majority,0.74902126,1.44145193,156,185,29
Template:Infobox_COA_wide,0.74542370,1.45612162,157,180,23
Eastern_Time_Zone,0.73150776,3.31126025,158,75,-83
Liberal_National_Party_of_Queensland,0.72979671,1.44052651,159,186,27
Template:Tooltip,0.72619031,1.92177073,160,142,-18
Template:Attached_KML,0.72573142,1.35946062,161,194,33
Victorian_Labor_Party,0.71859275,1.41578877,162,188,26
Template:Start_date,0.71377290,1.44669952,163,183,20
Template:Collapse_bottom,0.70360666,2.74768945,164,95,-69
Template:Collapse_top,0.70360666,2.74768945,165,96,-69
Template:Icon,0.69891719,1.45372887,166,181,15
Template:End_box,0.69866983,1.33073665,167,196,29
Template:NAMESPACE,0.69525339,2.18761665,168,126,-42
Template:Election_box_hold_with_party_link,0.69379273,1.32115876,169,198,29
