class,predicate,distinct_objects,total_objects,uniqueness
Person,careerStation,1985932,1985932,1.000000
Species,careerStation,1985932,1985932,1.000000
Species,label,1608007,1608007,1.000000
Person,label,1581432,1581432,1.000000
Species,name,1504798,1773252,0.848609
Person,name,1491875,1759966,0.847673
Species,thumbnail,741786,762700,0.972579
Person,thumbnail,734620,754700,0.973393
Person,termPeriod,469898,469898,1.000000
Species,termPeriod,469897,469897,1.000000
Species,caption,422798,465747,0.907785
Person,caption,420947,463520,0.908153
Person,occupation,310453,509756,0.609023
Species,occupation,310453,509756,0.609023
Person,spouse,277135,528880,0.524004
Species,spouse,277135,528880,0.524004
Person,birthPlace,267743,1674941,0.159852
Species,birthPlace,267742,1674938,0.159852
Person,birthName,262716,265785,0.988453
Species,birthName,262714,265783,0.988453
Person,predecessor,243974,342861,0.711583
Species,predecessor,243974,342861,0.711583
Person,successor,232477,310550,0.748598
Species,successor,232477,310550,0.748598
Person,birthName,206264,207702,0.993077
Species,birthName,206263,207701,0.993077
Species,fullname,194014,196503,0.987334
Person,fullname,194013,196502,0.987333
Person,currentMember,189445,555975,0.340744
Species,currentMember,189445,555974,0.340744
Species,title,155368,458422,0.338919
Person,title,155209,458251,0.338699
Person,occupation,137335,680314,0.201870
Species,occupation,137335,680310,0.201871
Person,birthPlace,128318,1707413,0.075153
Species,birthPlace,128318,1707411,0.075154
Species,wikiPageUsesTemplate,124766,16219428,0.007692
Person,wikiPageUsesTemplate,123401,16063645,0.007682
Person,office,120389,375707,0.320433
Species,office,120389,375706,0.320434
Person,knownFor,119406,150806,0.791785
Species,knownFor,119406,150806,0.791785
Species,deathPlace,116916,554877,0.210706
Person,deathPlace,116907,554852,0.210699
Person,after,115850,157136,0.737259
Species,after,115850,157136,0.737259
Person,before,113858,156775,0.726251
Species,before,113858,156775,0.726251
Person,birthDate,109875,1323199,0.083037
Species,birthDate,109874,1323197,0.083037
Species,deathDate,102303,561954,0.182049
Person,deathDate,102258,561268,0.182191
Person,birthDate,93292,1132001,0.082413
Species,birthDate,93292,1132000,0.082413
Person,clubs,92291,1251830,0.073725
Species,clubs,92291,1251830,0.073725
Person,deathDate,83743,439762,0.190428
Species,deathDate,83743,439761,0.190428
Species,url,74210,78371,0.946906
Person,url,74000,78058,0.948013
Person,spouse,68213,73618,0.926580
Species,spouse,68213,73618,0.926580
Person,children,66933,197046,0.339682
Species,children,66933,197046,0.339682
Person,website,63180,64179,0.984434
Species,website,63180,64179,0.984434
Person,other,62473,143943,0.434012
Species,other,62473,143943,0.434012
Person,knownFor,61280,96563,0.634612
Species,knownFor,61280,96563,0.634612
Species,awards,59425,180687,0.328884
Person,awards,58394,176918,0.330063
AdministrativeRegion,label,57273,57273,1.000000
Person,deathPlace,56078,529011,0.106005
Species,deathPlace,56078,529010,0.106006
Person,youthclubs,55316,210034,0.263367
Species,youthclubs,55316,210034,0.263367
Person,votes,55002,116828,0.470795
Species,votes,55002,116828,0.470795
Person,relatives,52894,69460,0.761503
Species,relatives,52894,69460,0.761503
Person,child,52714,63779,0.826510
Species,child,52714,63779,0.826510
Person,education,52658,201956,0.260740
Species,education,52658,201956,0.260740
Person,termEnd,52582,356385,0.147543
Species,termEnd,52582,356384,0.147543
Person,termStart,52186,415405,0.125627
Species,termStart,52186,415404,0.125627
Person,team,51781,1644514,0.031487
Species,team,51781,1644514,0.031487
Person,parents,50445,56786,0.888335
Species,parents,50445,56786,0.888335
Person,candidate,49960,61581,0.811289
Species,candidate,49960,61581,0.811289
Person,nativeName,48610,52893,0.919025
Species,nativeName,48610,52893,0.919025
Species,id,45881,50331,0.911585
Person,id,45752,50175,0.911849
Person,almaMater,44967,312787,0.143762
Species,almaMater,44967,312787,0.143762
Person,notableWorks,43189,49153,0.878665
Species,notableWorks,43189,49153,0.878665
Person,associatedActs,42486,67895,0.625760
Species,associatedActs,42486,67895,0.625760
Species,source,41882,42952,0.975088
Person,source,41838,42896,0.975336
Person,fullName,39339,40498,0.971381
Species,fullName,39339,40498,0.971381
Person,militaryCommand,39227,59263,0.661914
