class,predicate,entropy_bits,values,distinct_values
Thing,label,22.190033,4784820,4784820
Concept,label,21.315975,2610646,2610646
Thing,name,21.259243,4220851,3285801
Thing,thumbnail,21.073083,2789388,2568557
Thing,careerStation,20.921385,1985932,1985932
Species,careerStation,20.921385,1985932,1985932
Q19088,careerStation,20.921385,1985932,1985932
Eukaryote,careerStation,20.921375,1985918,1985918
Species,label,20.616842,1608007,1608007
Q19088,label,20.613352,1604122,1604122
Eukaryote,label,20.613349,1604118,1604118
Species,name,20.283316,1773252,1504798
Eukaryote,name,20.280888,1770961,1502545
Q19088,name,20.280884,1770964,1502547
Thing,title,18.891885,2395399,1226993
TimeInterval,predecessor,17.120317,262746,174388
TimePeriod,predecessor,17.120308,262745,174387
TimeInterval,successor,17.101574,247369,168394
TimePeriod,successor,17.101574,247369,168394
Eukaryote,birthDate,15.786867,1323196,109875
Species,birthDate,15.786865,1323197,109874
Q19088,birthDate,15.786865,1323198,109874
TimeInterval,office,15.249343,377926,159446
TimePeriod,office,15.249333,377926,159445
Thing,goals,14.647383,2452120,578206
Q19088,birthPlace,14.240701,1674939,267743
Species,birthPlace,14.240693,1674938,267742
Eukaryote,birthPlace,14.240690,1674938,267742
TimePeriod,end,14.111915,266448,48777
TimeInterval,end,14.111896,266448,48777
TimeInterval,start,14.041278,319571,49880
TimePeriod,start,14.041269,319571,49880
Document,filename,13.694768,16742,14201
Document,title,13.652771,16619,14205
Document,description,13.523554,13459,12462
Species,team,13.330208,1644514,51781
Q19088,team,13.330208,1644514,51781
Eukaryote,team,13.330203,1644510,51781
TimePeriod,team,13.230405,1896155,54826
TimeInterval,team,13.230403,1896157,54826
Q19088,birthPlace,12.919446,1707413,128318
Species,birthPlace,12.919446,1707411,128318
Eukaryote,birthPlace,12.919443,1707410,128317
Thing,wikiPageUsesTemplate,9.599300,46461209,309100
Species,wikiPageUsesTemplate,8.345312,16219428,124766
Q19088,wikiPageUsesTemplate,8.343595,16196362,124685
Eukaryote,wikiPageUsesTemplate,8.343588,16196333,124685
Thing,years,7.179177,1708137,27101
Eukaryote,years,6.881981,1599923,17099
Species,years,6.881977,1599936,17099
Q19088,years,6.881977,1599936,17099
Concept,wikiPageUsesTemplate,6.419884,3033695,14511
Thing,subdivisionType,6.351591,1718329,4802
TimePeriod,numberOfMatches,6.269323,1210385,679
TimeInterval,numberOfMatches,6.269317,1210384,679
Thing,type,6.018571,53369241,765
TimePeriod,years,5.837595,1721457,315
TimeInterval,years,5.837592,1721459,315
Species,type,4.396206,30290856,312
Q19088,type,4.395104,30279426,310
Eukaryote,type,4.395103,30279335,310
TimePeriod,numberOfGoals,3.218135,1236608,485
TimeInterval,numberOfGoals,3.218131,1236607,485
TimeInterval,type,1.842009,7449054,10
TimePeriod,type,1.842009,7449048,10
Document,type,0.115551,7539064,7
Concept,type,0.000000,2554767,1
Concept,thumbnail,0.000000,1,1
