value,dbpedia-2015,dbpedia-2022-matched,dbpedia-2025,relative_change
total_entities,4995957.000000,7564288.000000,32853621.000000,5.576042
classes/http://dbpedia.org/ontology/TimePeriod/population,1021177.000000,2091566.000000,2476234.000000,1.424882
classes/http://dbpedia.org/ontology/CareerStation/population,890186.000000,1731520.000000,2005948.000000,1.253403
classes/http://schema.org/Place/share,0.160396,0.100462,0.023485,-0.853584
classes/http://www.w3.org/2002/07/owl#Thing/share,1.000000,0.722494,0.179556,-0.820444
classes/http://xmlns.com/foaf/0.1/Person/share,0.317846,0.245920,0.064698,-0.796448
classes/http://schema.org/Person/share,0.317846,0.245920,0.064698,-0.796448
classes/http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson/share,0.317846,0.245920,0.064698,-0.796448
classes/http://www.wikidata.org/entity/Q215627/share,0.317846,0.245920,0.064698,-0.796448
classes/http://www.wikidata.org/entity/Q5/share,0.317846,0.245920,0.064698,-0.796448
classes/http://dbpedia.org/ontology/Person/share,0.317846,0.245920,0.064698,-0.796447
classes/http://dbpedia.org/ontology/CareerStation/share,0.178181,0.228907,0.061057,-0.657331
classes/http://dbpedia.org/ontology/TimePeriod/share,0.204401,0.276505,0.075372,-0.631255
classes/http://dbpedia.org/ontology/Person/population,1587944.000000,1860208.000000,2125575.000000,0.338571
classes/http://www.wikidata.org/entity/Q5/population,1587944.000000,1860208.000000,2125573.000000,0.338569
classes/http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson/population,1587944.000000,1860208.000000,2125572.000000,0.338569
classes/http://www.wikidata.org/entity/Q215627/population,1587944.000000,1860208.000000,2125572.000000,0.338569
classes/http://schema.org/Person/population,1587944.000000,1860208.000000,2125571.000000,0.338568
classes/http://xmlns.com/foaf/0.1/Person/population,1587944.000000,1860208.000000,2125569.000000,0.338567
classes/http://www.w3.org/2002/07/owl#Thing/population,4995957.000000,5465152.000000,5899058.000000,0.180766
classes/http://schema.org/Place/population,801334.000000,759924.000000,771553.000000,-0.037164
