class,population,share
Document,16916808,0.58742141
Thing,5465152,0.18977264
CareerStation,2708561,0.09405242
TimePeriod,2242487,0.07786841
Concept,2215203,0.07692099
TimeInterval,2091566,0.07262781
Species,1975461,0.06859616
Eukaryote,1968828,0.06836584
Q19088,1968827,0.06836580
Animal,1958218,0.06799741
Q729,1957965,0.06798863
Person,1922501,0.06675717
NaturalPerson,1860208,0.06459410
Person,1860208,0.06459410
Q215627,1860208,0.06459410
Q5,1860208,0.06459410
Person,1860208,0.06459410
SpatialThing,1270302,0.04411013
Place,759925,0.02638773
Place,759924,0.02638770
