class,predicate,ent_etimp,entf_bits,etimp
Species,wikiPageExternalLink,309.644671,20.641919,1045211.6734
Eukaryote,wikiPageExternalLink,309.345974,20.639166,1041601.1535
Q19088,wikiPageExternalLink,309.345851,20.639159,1041600.5462
Animal,wikiPageExternalLink,308.908565,20.637511,1035971.5870
Species,sameAs,307.385185,21.019844,961265.3315
Eukaryote,sameAs,307.086886,21.016476,957999.7618
Q19088,sameAs,307.086852,21.016475,957999.5211
Animal,sameAs,306.708152,21.005457,954783.3732
Species,careerStation,285.109734,20.710971,743783.9238
Eukaryote,careerStation,284.993946,20.710971,742576.3989
Q19088,careerStation,284.993928,20.710971,742576.2166
Animal,careerStation,284.807623,20.710971,740636.3850
Species,name,282.808404,20.155550,781241.5077
Eukaryote,name,282.513970,20.150504,778577.7258
Q19088,name,282.513884,20.150504,778576.7733
Animal,name,281.863489,20.145907,771960.0886
Concept,broader,246.115671,18.078370,620982.3904
TimePeriod,predecessor,240.788014,16.877679,699199.7291
TimeInterval,predecessor,239.030489,16.877679,679008.1558
TimePeriod,successor,237.946182,16.830282,672420.2749
TimeInterval,successor,236.190102,16.827811,653076.2954
CareerStation,team,233.497321,13.568616,1189928.6966
Species,birthPlace,227.084416,14.170129,934604.5510
Eukaryote,birthPlace,226.762226,14.170129,929311.7135
Q19088,birthPlace,226.762177,14.170129,929310.9142
Animal,birthPlace,226.241700,14.170129,920808.2211
Species,name,226.144272,20.027274,325594.3642
Eukaryote,name,225.585123,20.022368,322623.1132
Q19088,name,225.584901,20.022368,322621.8454
Animal,name,224.031660,20.018147,314026.2539
TimePeriod,office,223.963972,14.673701,796330.9870
TimeInterval,office,222.105806,14.671332,770603.6058
Species,birthPlace,216.434251,12.986597,1001885.0877
Eukaryote,birthPlace,216.183858,12.986597,997256.7851
Q19088,birthPlace,216.183820,12.986597,997256.0862
Animal,birthPlace,215.779743,12.986597,989820.9369
TimePeriod,start,213.766385,13.940045,770841.5012
Species,subject,213.092274,15.096476,599299.6919
Eukaryote,subject,213.028157,15.093275,598959.6390
Q19088,subject,213.028137,15.093274,598959.5879
Animal,subject,212.874818,15.082651,598499.9511
TimeInterval,start,212.085563,13.940045,746881.7804
TimePeriod,end,208.918257,14.025766,690439.7773
TimePeriod,team,207.649266,13.568590,744247.5238
TimeInterval,end,207.406946,14.025766,670677.0057
TimeInterval,team,195.083688,13.568590,579801.8803
Concept,related,144.478503,14.135912,154255.7864
Species,wikiPageUsesTemplate,137.260420,8.401142,598640.7802
Eukaryote,wikiPageUsesTemplate,137.250534,8.401917,598302.7497
Q19088,wikiPageUsesTemplate,137.250442,8.401910,598302.6987
Animal,wikiPageUsesTemplate,137.200450,8.400144,597808.3411
CareerStation,numberOfMatches,137.089862,6.265263,1436162.2503
TimePeriod,numberOfMatches,129.759416,6.265263,1152756.7555
TimeInterval,numberOfMatches,126.711042,6.265263,1048189.9590
CareerStation,years,125.333144,5.757899,1292622.4905
Concept,wikiPageUsesTemplate,117.679683,6.251344,785029.0943
TimePeriod,years,114.183308,5.757899,890468.2629
TimeInterval,years,109.096736,5.757899,742087.3033
CareerStation,activeYearsStartYear,106.600941,6.119235,563576.4197
CareerStation,activeYearsEndYear,104.143136,6.026868,537338.0033
CareerStation,battle,89.623140,9.595224,73032.3471
CareerStation,numberOfGoals,83.388286,3.230502,1434202.0079
TimePeriod,numberOfGoals,78.803805,3.230327,1144060.7711
Concept,wikiPageInterLanguageLink,78.576018,11.625650,24260.9784
TimeInterval,numberOfGoals,76.891874,3.230327,1037008.0104
CareerStation,country,67.955175,6.351139,83240.6271
Concept,wasDerivedFrom,16.122173,21.079004,7.2135
CareerStation,occupation,15.949917,0.735315,162784.8704
Q19088,type,0.000000,4.448797,0.0000
TimePeriod,type,0.000000,1.884003,0.0000
Species,type,0.000000,4.450776,0.0000
Eukaryote,type,0.000000,4.448797,0.0000
Concept,wikiPageRevisionID,0.000000,21.079007,0.0000
Concept,wikiPageID,0.000000,21.079007,0.0000
Concept,prefLabel,0.000000,21.079007,0.0000
Concept,label,0.000000,21.079007,0.0000
Concept,type,0.000000,0.000000,0.0000
Animal,type,0.000000,4.441133,0.0000
CareerStation,type,0.000000,1.572297,0.0000
TimeInterval,type,0.000000,1.832292,0.0000
