class,predicate,entropy_bits,values,distinct_values
Concept,wikiPageID,21.079007,2215203,2215203
Concept,wikiPageRevisionID,21.079007,2215203,2215203
Concept,label,21.079007,2215203,2215203
Concept,prefLabel,21.079007,2215203,2215203
Concept,wasDerivedFrom,21.079004,2215198,2215198
Species,sameAs,21.019844,2127413,2126779
Eukaryote,sameAs,21.016476,2122454,2121821
Q19088,sameAs,21.016475,2122452,2121819
Animal,sameAs,21.005457,2106308,2105680
Species,careerStation,20.710971,1716420,1716420
Eukaryote,careerStation,20.710971,1716420,1716420
Q19088,careerStation,20.710971,1716420,1716420
Animal,careerStation,20.710971,1716420,1716420
Species,wikiPageExternalLink,20.641919,1943508,1821568
Eukaryote,wikiPageExternalLink,20.639166,1939086,1817707
Q19088,wikiPageExternalLink,20.639159,1939078,1817699
Animal,wikiPageExternalLink,20.637511,1932638,1812625
Species,name,20.155550,1579232,1359267
Eukaryote,name,20.150504,1574897,1355010
Q19088,name,20.150504,1574897,1355010
Animal,name,20.145907,1570625,1350899
Species,name,20.027274,2081195,1512587
Eukaryote,name,20.022368,2076865,1508337
Q19088,name,20.022368,2076865,1508337
Animal,name,20.018147,2072782,1504434
Concept,broader,18.078370,4524733,818582
TimePeriod,predecessor,16.877679,205460,143078
TimeInterval,predecessor,16.877679,205460,143078
TimePeriod,successor,16.830282,192665,137026
TimeInterval,successor,16.827811,192191,136769
Species,subject,15.096476,14530941,459851
Eukaryote,subject,15.093275,14516363,459344
Q19088,subject,15.093274,14516360,459344
Animal,subject,15.082651,14486874,455761
TimePeriod,office,14.673701,293322,121145
TimeInterval,office,14.671332,292904,120990
Species,birthPlace,14.170129,1505222,248432
Eukaryote,birthPlace,14.170129,1505222,248432
Q19088,birthPlace,14.170129,1505222,248432
Animal,birthPlace,14.170129,1505222,248432
Concept,related,14.135912,44563,30083
TimePeriod,end,14.025766,197336,42936
TimeInterval,end,14.025766,197336,42936
TimePeriod,start,13.940045,240318,44401
TimeInterval,start,13.940045,240318,44401
CareerStation,team,13.568616,1641563,71304
TimePeriod,team,13.568590,1641527,71293
TimeInterval,team,13.568590,1641527,71293
Species,birthPlace,12.986597,1516283,135353
Eukaryote,birthPlace,12.986597,1516283,135353
Q19088,birthPlace,12.986597,1516283,135353
Animal,birthPlace,12.986597,1516283,135353
Concept,wikiPageInterLanguageLink,11.625650,3286,3210
CareerStation,battle,9.595224,20756,4972
Eukaryote,wikiPageUsesTemplate,8.401917,13963636,111147
Q19088,wikiPageUsesTemplate,8.401910,13963611,111145
Species,wikiPageUsesTemplate,8.401142,14003575,111226
Animal,wikiPageUsesTemplate,8.400144,13902945,110796
CareerStation,country,6.351139,12082,1001
CareerStation,numberOfMatches,6.265263,1040308,676
TimePeriod,numberOfMatches,6.265263,1040308,676
TimeInterval,numberOfMatches,6.265263,1040308,676
Concept,wikiPageUsesTemplate,6.251344,2482230,13763
CareerStation,activeYearsStartYear,6.119235,131977,323
CareerStation,activeYearsEndYear,6.026868,119301,257
CareerStation,years,5.757899,1481780,297
TimePeriod,years,5.757899,1481780,297
TimeInterval,years,5.757899,1481780,297
Species,type,4.450776,26985731,383
Q19088,type,4.448797,26965607,380
Eukaryote,type,4.448797,26965609,380
Animal,type,4.441133,26899047,365
CareerStation,numberOfGoals,3.230502,1065099,471
TimePeriod,numberOfGoals,3.230327,1065056,471
TimeInterval,numberOfGoals,3.230327,1065056,471
TimePeriod,type,1.884003,6476142,63
TimeInterval,type,1.832292,6291741,14
CareerStation,type,1.572297,6187062,34
CareerStation,occupation,0.735315,24041,3
Concept,type,0.000000,2215203,1
