class,predicate,entropy_bits,values,distinct_values
Species,sameAs,21.019844,2127413,2126779
Person,sameAs,20.934973,2005828,2005211
Person,careerStation,20.710971,1716420,1716420
Species,careerStation,20.710971,1716420,1716420
Person,wikiPageExternalLink,20.664987,1916920,1807326
Species,wikiPageExternalLink,20.641919,1943508,1821568
Species,name,20.155550,1579232,1359267
Person,name,20.112560,1543791,1323633
Species,name,20.027274,2081195,1512587
Person,name,19.980852,2040566,1472569
AdministrativeArea,sameAs,16.536146,95643,95226
AdministrativeArea,wikiPageID,15.726804,54230,54230
AdministrativeArea,wikiPageExternalLink,15.703081,87512,74591
AdministrativeArea,name,15.373804,71112,60502
Species,subject,15.096476,14530941,459851
Person,subject,15.017199,14341904,446556
ChemicalCompound,sameAs,14.255417,19676,19597
Species,birthPlace,14.170129,1505222,248432
Person,birthPlace,14.169586,1508124,248711
ChemicalCompound,alternativeName,13.719601,14186,14012
ChemicalCompound,wasDerivedFrom,13.637983,12748,12748
ChemicalCompound,isPrimaryTopicOf,13.637983,12748,12748
ChemicalCompound,wikiPageID,13.637983,12748,12748
AdministrativeArea,wikiPageLength,13.515520,54230,17981
AdministrativeArea,subject,13.365851,148394,36533
ChemicalCompound,imagefile,13.259602,14509,13024
Species,birthPlace,12.986597,1516283,135353
Person,birthPlace,12.986591,1516285,135353
Star,sameAs,12.924441,7774,7774
ChemicalCompound,othernames,12.471780,13757,11130
Star,wasDerivedFrom,12.290595,5010,5010
Star,label,12.290595,5010,5010
Star,wikiPageRevisionID,12.290595,5010,5010
Galaxy,name,11.506637,3712,3532
AdministrativeArea,subdivisionName,11.235986,58179,10492
Galaxy,wikiPageID,10.939579,1964,1964
Galaxy,isPrimaryTopicOf,10.939579,1964,1964
Galaxy,wikiPageRevisionID,10.939579,1964,1964
Galaxy,wasDerivedFrom,10.939579,1964,1964
Galaxy,label,10.939579,1964,1964
Galaxy,wikiPageLength,10.609125,1964,1657
ChemicalCompound,subject,10.581325,41413,3787
Star,class,10.126145,5345,2772
Star,appmagV,9.945099,5299,2070
Species,wikiPageUsesTemplate,8.401142,14003575,111226
Person,wikiPageUsesTemplate,8.390035,13434078,110412
AdministrativeArea,wikiPageUsesTemplate,8.281276,552381,23376
AdministrativeArea,subdivisionType,6.149453,75245,1114
Star,subject,6.065063,39848,635
Galaxy,subject,5.940646,11440,425
ChemicalCompound,wikiPageUsesTemplate,5.838193,150000,1807
Galaxy,wikiPageUsesTemplate,5.376493,20467,368
Star,wikiPageUsesTemplate,5.331996,88505,637
Species,type,4.450776,26985731,383
Person,type,4.404830,26189827,424
AdministrativeArea,type,3.591984,570424,77
Galaxy,type,2.807355,13888,7
Star,type,2.585419,30115,7
ChemicalCompound,type,2.560222,68724,20
Star,epoch,1.886430,5028,67
