type,predicate,etimp_score
AdministrativeArea,sameAs,273055.05
AdministrativeArea,elevation,261154.51
AdministrativeArea,populationNumber,181833.84
AdministrativeArea,geo,176303.32
AdministrativeArea,alternateName,153574.59
AdministrativeArea,comment,114613.36
AdministrativeArea,image,108098.96
AdministrativeArea,postalCode,98852.52
AdministrativeArea,mainEntityOfPage,70694.38
AdministrativeArea,area,63145.15
AdministrativeArea,location,38772.93
AdministrativeArea,dateCreated,23273.96
AdministrativeArea,url,16192.82
AdministrativeArea,neighbors,14772.54
AdministrativeArea,demonym,4286.55
AdministrativeArea,capital,2716.06
AdministrativeArea,replaces,1481.03
AdministrativeArea,memberOf,521.95
AdministrativeArea,leader,384.17
AdministrativeArea,address,345.56
AdministrativeArea,ownedBy,293.23
AdministrativeArea,highestPoint,198.68
AdministrativeArea,dissolutionDate,170.76
AdministrativeArea,founder,142.32
AdministrativeArea,flowsInto,83.31
AdministrativeArea,slogan,67.93
AdministrativeArea,logo,67.93
AdministrativeArea,length,67.93
AdministrativeArea,studentsCount,67.93
AdministrativeArea,label,60.59
AdministrativeArea,appearsIn,52.20
AdministrativeArea,numberOfEmployees,35.97
AdministrativeArea,sameAs,0.00
AdministrativeArea,type,0.00
Person,deathDate,1567560.16
Person,birthDate,1544605.28
Person,children,1449738.23
Person,mainEntityOfPage,1417258.91
Person,alternateName,1346096.00
Person,spouse,1276249.20
Person,sameAs,1119174.00
Person,comment,991284.17
Person,birthPlace,991045.47
Person,alumniOf,957285.53
Person,nationality,843669.60
Person,deathPlace,707523.39
Person,homeLocation,585127.01
Person,gender,541297.63
Person,knowsLanguage,525957.17
Person,award,501587.71
Person,image,405034.19
Person,memberOf,361240.41
Person,academicDegree,318610.90
Person,beliefSystem,235313.77
Person,worksFor,218151.93
Person,affiliation,105889.49
Person,url,58807.16
Person,owns,15190.61
Person,label,346.23
Person,appearsIn,165.04
Person,sameAs,0.00
Person,type,0.00
Taxon,sameAs,1850090.46
Taxon,mainEntityOfPage,1316729.22
Taxon,image,1009928.28
Taxon,alternateName,911205.26
Taxon,comment,38002.11
Taxon,parentTaxon,18030.26
Taxon,consumes,1523.42
Taxon,url,60.47
Taxon,label,4.33
Taxon,type,0.00
Taxon,sameAs,0.00
Chemical_compound,alternateName,273822.35
Chemical_compound,mainEntityOfPage,122234.13
Chemical_compound,sameAs,109040.86
Chemical_compound,image,22442.27
Chemical_compound,label,5304.66
Chemical_compound,manufacturer,709.21
Chemical_compound,url,213.04
Chemical_compound,comment,116.85
Chemical_compound,dateCreated,88.83
Chemical_compound,material,72.35
Chemical_compound,about,20.09
Chemical_compound,sameAs,1.44
Chemical_compound,type,0.00
Galaxy,radialVelocity,1089527.56
Galaxy,mainEntityOfPage,714768.88
Galaxy,distanceFromEarth,112854.51
Galaxy,parallax,62108.32
Galaxy,alternateName,52435.69
Galaxy,sameAs,36599.70
Galaxy,image,10056.27
Galaxy,parentBody,192.93
Galaxy,mass,58.24
Galaxy,luminosity,21.00
Galaxy,url,21.00
Galaxy,comment,14.43
Galaxy,sameAs,1.44
Galaxy,type,0.00
Galaxy,label,0.00
Star,radialVelocity,1456576.71
Star,distanceFromEarth,989274.98
Star,parallax,594218.37
Star,alternateName,112105.63
Star,mainEntityOfPage,83015.52
Star,sameAs,75745.30
Star,mass,19335.80
Star,luminosity,17620.34
Star,comment,10983.43
Star,image,4488.18
Star,parentBody,166.27
Star,location,41.29
Star,label,1.44
Star,sameAs,1.44
Star,type,0.00
