class,population,share
wikicat_Living_people,667909,0.13019389
wordnet_administrative_district_108491826,350774,0.06837553
wordnet_person_100007846,180599,0.03520373
wikicat_Ethnic_German_people,137451,0.02679299
wordnet_album_106591815,116683,0.02274474
wordnet_movie_106613686,93885,0.01830078
wordnet_artist_109812338,85034,0.01657547
wikicat_Women,70438,0.01373031
wordnet_company_108058098,64077,0.01249038
wordnet_medium_106254669,58983,0.01149741
wordnet_officeholder_110371450,47974,0.00935146
wikicat_American_people,47720,0.00930194
wikicat_Writers,41089,0.00800938
wordnet_player_110439851,39991,0.00779535
wordnet_commune_108541609,37065,0.00722499
wordnet_event_100029378,34211,0.00666867
wordnet_station_104306080,34104,0.00664781
wordnet_site_108651247,34000,0.00662754
wordnet_season_115239579,33705,0.00657003
wordnet_school_108276720,29247,0.00570105
