class,predicate,ent_etimp,entf_bits,etimp
wikicat_Living_people,redirectedFrom,226.520332,19.622025,348495.5850
wordnet_administrative_district_108491826,redirectedFrom,184.315849,19.422627,157516.7680
wordnet_administrative_district_108491826,hasLongitude,156.053098,14.739906,185184.8344
wordnet_person_100007846,redirectedFrom,153.302040,18.235664,91080.8377
wordnet_administrative_district_108491826,hasLatitude,153.064134,14.364685,185184.8344
wikicat_Living_people,isAffiliatedTo,151.070007,12.470630,268564.0401
wordnet_administrative_district_108491826,hasNumberOfPeople,148.394641,13.835845,183086.2939
wikicat_Living_people,playsFor,147.451132,12.206995,259876.0058
wordnet_administrative_district_108491826,hasArea,138.080347,13.132198,160514.8496
wikicat_Ethnic_German_people,redirectedFrom,135.764988,16.722047,72657.8968
wordnet_album_106591815,redirectedFrom,131.360112,16.928090,61380.4593
wikicat_Living_people,wasBornOnDate,126.286915,11.966314,148440.4485
wordnet_person_100007846,diedOnDate,126.239773,14.007151,92413.4888
wordnet_administrative_district_108491826,hasPopulationDensity,126.162726,12.665870,124686.4305
wordnet_movie_106613686,redirectedFrom,124.223731,17.345371,45631.7917
wordnet_artist_109812338,redirectedFrom,121.237086,17.238535,42173.6190
wordnet_person_100007846,actedIn,120.662138,14.742142,66161.0408
wikicat_Living_people,hasFamilyName,114.423689,15.849788,43052.0042
wikicat_Women,redirectedFrom,113.639106,17.411321,31594.8347
wordnet_artist_109812338,created,111.133039,15.846548,38332.6406
wikicat_Living_people,hasGivenName,97.197777,12.011618,51501.6053
wordnet_person_100007846,wasBornOnDate,92.954581,14.249651,25803.0167
wordnet_artist_109812338,wasBornOnDate,92.085165,12.896528,33522.8018
wordnet_artist_109812338,hasFamilyName,89.782419,14.566845,21021.7437
wordnet_administrative_district_108491826,isLocatedIn,86.759620,11.327427,38983.1296
wikicat_Women,actedIn,85.836252,14.040893,19610.9565
wikicat_Women,created,81.440647,14.172464,15453.5675
wikicat_Ethnic_German_people,diedOnDate,80.978572,8.751151,64163.0278
wordnet_person_100007846,hasFamilyName,79.803494,14.985075,12053.4364
wordnet_artist_109812338,hasGivenName,79.142635,12.193801,21638.3783
wordnet_movie_106613686,wasCreatedOnDate,73.600258,12.066294,16703.0452
wordnet_person_100007846,hasGivenName,69.710600,11.638155,14981.0694
wikicat_Women,hasFamilyName,68.020063,15.057150,6270.7542
wikicat_Ethnic_German_people,hasFamilyName,62.967905,14.814160,4835.5498
wikicat_Ethnic_German_people,isAffiliatedTo,62.366026,9.418392,18107.6454
wikicat_Women,hasGivenName,56.307481,11.628219,6393.2955
wordnet_movie_106613686,hasDuration,53.142828,6.688433,26656.6428
wikicat_Women,wasBornOnDate,49.466884,10.234121,5586.0728
wikicat_Ethnic_German_people,wasBornOnDate,46.347435,8.601206,7251.4475
wikicat_Ethnic_German_people,hasGivenName,45.009999,9.372789,4984.5915
wordnet_artist_109812338,hasMusicalRole,40.506109,4.154022,37555.6991
wordnet_movie_106613686,isLocatedIn,37.289630,3.387173,49755.3775
wordnet_album_106591815,wasCreatedOnDate,35.924371,10.294673,1526.5779
wordnet_movie_106613686,happenedOnDate,33.849712,7.319734,3347.6042
wordnet_movie_106613686,wasDestroyedOnDate,30.626210,7.677538,1944.0487
wordnet_album_106591815,wasDestroyedOnDate,26.516806,7.125367,1366.6684
wordnet_album_106591815,hasDuration,24.389068,6.262599,1440.5124
wordnet_album_106591815,isLocatedIn,17.829595,2.422428,7109.0803
wordnet_movie_106613686,hasPages,17.135312,5.322076,571.9064
wordnet_album_106591815,happenedOnDate,13.671850,4.651084,347.2534
wikicat_Living_people,hasGender,13.622191,0.735058,86700.8333
wikicat_Ethnic_German_people,hasGender,10.171106,0.567901,58432.6858
wordnet_artist_109812338,hasGender,10.067672,0.754707,23899.0290
wordnet_person_100007846,hasGender,9.853164,0.761659,21331.4446
wordnet_album_106591815,hasPages,7.910946,3.169925,122.9608
wikicat_Women,hasGender,1.477567,0.051135,35647.0290
wikicat_Ethnic_German_people,type,0.000000,7.973996,0.0000
wikicat_Ethnic_German_people,prefLabel,0.000000,17.067859,0.0000
wikicat_Ethnic_German_people,label,0.000000,19.053801,0.0000
wordnet_album_106591815,label,0.000000,18.380848,0.0000
wordnet_album_106591815,type,0.000000,9.799073,0.0000
wordnet_album_106591815,prefLabel,0.000000,16.827933,0.0000
wordnet_person_100007846,type,0.000000,11.259455,0.0000
wordnet_person_100007846,label,0.000000,19.844190,0.0000
wordnet_person_100007846,prefLabel,0.000000,17.461024,0.0000
wordnet_administrative_district_108491826,label,0.000000,21.176911,0.0000
wordnet_administrative_district_108491826,prefLabel,0.000000,18.420114,0.0000
wordnet_administrative_district_108491826,type,0.000000,8.207618,0.0000
wordnet_movie_106613686,prefLabel,0.000000,16.512770,0.0000
wordnet_movie_106613686,label,0.000000,18.677536,0.0000
wordnet_movie_106613686,type,0.000000,9.110472,0.0000
wordnet_artist_109812338,prefLabel,0.000000,16.372389,0.0000
wordnet_artist_109812338,type,0.000000,10.345049,0.0000
wordnet_artist_109812338,label,0.000000,18.931418,0.0000
wikicat_Women,type,0.000000,10.554604,0.0000
wikicat_Women,prefLabel,0.000000,16.103754,0.0000
wikicat_Women,label,0.000000,19.012302,0.0000
wikicat_Living_people,type,0.000000,12.646386,0.0000
wikicat_Living_people,prefLabel,0.000000,19.349020,0.0000
wikicat_Living_people,label,0.000000,21.355716,0.0000
