entity,literal_properties,inforank
Hangul,7332,0.000147133288
4th_millennium,1198,0.000024040600
5th_millennium,1148,0.000023037236
Habeas_corpus_petitions_of_Guantanamo_Bay_detainees,1104,0.000022154276
Gospel_of_Matthew,1016,0.000020388355
United_States,808,0.000016214361
Saudi_detainees_at_Guantanamo_Bay,711,0.000014267835
Algeria,709,0.000014227701
Yemeni_detainees_at_Guantanamo_Bay,683,0.000013705951
China,602,0.000012080502
Auschwitz_concentration_camp,586,0.000011759425
Taiwan,538,0.000010796196
United_Kingdom,530,0.000010635658
Soviet_Union,525,0.000010535321
"Washington,_D.C.",524,0.000010515254
Afghan_detainees_at_Guantanamo_Bay,521,0.000010455052
"Concepci%C3%B3n,_Chile",504,0.000010113908
September_11_attacks,502,0.000010073774
Jesus,494,0.000009913236
Wikipedia,490,0.000009832967
English_language,479,0.000009612227
Pyotr_Ilyich_Tchaikovsky,467,0.000009371419
Insulated_glazing,466,0.000009351352
Australia,442,0.000008869737
South_Africa,435,0.000008729266
Germany,433,0.000008689132
Mustafa_Kemal_Atat%C3%BCrk,433,0.000008689132
Muhammad,433,0.000008689132
Switzerland,425,0.000008528593
Russia,419,0.000008408190
Azerbaijan,417,0.000008368055
French_language,414,0.000008307853
New_York_City,414,0.000008307853
North_Korea,413,0.000008287786
Polycephaly,411,0.000008247652
Spain,411,0.000008247652
Barack_Obama,410,0.000008227584
Fyodor_Dostoyevsky,410,0.000008227584
Netherlands,409,0.000008207517
Taymyrsky_Dolgano-Nenetsky_District,409,0.000008207517
Spanish_language,407,0.000008167382
Iran,405,0.000008127248
South_Korea,404,0.000008107181
S%C3%A3o_Paulo,404,0.000008107181
Czech_Republic,403,0.000008087113
Mexico_City,403,0.000008087113
Democratic_Republic_of_the_Congo,402,0.000008067046
Israel,399,0.000008006844
Ho_Chi_Minh_City,398,0.000007986777
German_language,398,0.000007986777
