class,population,share
Taxon,3506350,0.07056750
Star,3278545,0.06598278
Person,2982308,0.06002082
Galaxy,2094595,0.04215504
Review_article,2059990,0.04145859
Researcher,1917474,0.03859037
Chemical_compound,1114868,0.02243742
Politician,750961,0.01511356
Painting__u0028_object_u0029_,668266,0.01344927
Street,647958,0.01304056
Villages_of_China,588555,0.01184504
Encyclopedia_Article_Q13433827,578773,0.01164817
Mountain,526631,0.01059878
AdministrativeArea,518290,0.01043091
Editorial,512925,0.01032294
Collection__u0028_museum_u0029_,501407,0.01009113
River,418684,0.00842628
Clinical_trial,391843,0.00788609
Astronomical_radio_source,353644,0.00711731
Association_football_player,341060,0.00686405
