class,predicate,ent_etimp,entf_bits,etimp
Taxon,mainEntityOfPage,357.560142,23.154388,1316729.2210
Taxon,sameAs,354.630532,20.447357,1850090.4559
Person,mainEntityOfPage,323.059418,19.734531,1417258.9103
Person,children,322.661602,19.553891,1449738.2264
Person,alternateName,319.625844,19.792341,1346096.0028
Taxon,alternateName,291.920341,19.974706,911205.2577
Researcher,alternateName,282.649615,19.306523,886913.8111
Person,comment,276.942250,18.104487,991284.1680
Taxon,image,274.968604,17.821625,1009928.2841
Review_article,author,269.287382,17.161735,1040352.3002
Researcher,sameAs,256.089932,17.981706,739737.0321
Person,birthDate,254.804449,13.974518,1544605.2818
Galaxy,mainEntityOfPage,254.415085,18.030258,714768.8797
Star,radialVelocity,251.587466,14.011164,1456576.7095
Galaxy,radialVelocity,250.080216,15.311804,1089527.5631
Star,distanceFromEarth,249.411708,15.756150,989274.9807
Person,deathDate,247.953252,13.409678,1567560.1551
Politician,alternateName,238.146672,20.101384,396004.5353
Politician,mainEntityOfPage,216.822280,20.754846,247204.9167
Star,parallax,216.351558,15.448916,594218.3721
Politician,sameAs,214.671350,18.869207,316107.9442
Researcher,worksFor,208.540717,12.297137,1017071.4115
Review_article,about,196.835160,11.131866,1088195.0386
Chemical_compound,alternateName,194.179831,17.316064,273822.3519
Researcher,alumniOf,183.659251,10.904464,877482.1878
Politician,birthDate,163.704671,15.059507,210286.8023
Chemical_compound,mainEntityOfPage,154.580977,16.716444,122234.1250
Star,alternateName,146.996360,16.089145,112105.6283
Chemical_compound,sameAs,132.828602,14.185970,109040.8569
Star,mainEntityOfPage,130.666376,15.199596,83015.5186
Star,sameAs,114.346700,13.117355,75745.3000
Galaxy,distanceFromEarth,113.963835,11.433603,112854.5132
Galaxy,alternateName,111.468456,14.332666,52435.6921
Review_article,alternateName,110.176864,13.269899,63060.6924
Galaxy,parallax,105.518511,12.590847,62108.3169
Taxon,parentTaxon,92.205844,15.885856,18030.2558
Galaxy,sameAs,89.092203,11.984698,36599.6979
Chemical_compound,label,81.420282,20.234430,5304.6596
Politician,comment,81.109626,11.816249,26233.1663
Politician,nationality,77.243758,4.954564,292709.8741
Chemical_compound,image,76.110940,11.435114,22442.2743
Review_article,label,75.046881,22.268567,2872.4586
Taxon,comment,71.281770,8.790942,38002.1081
Researcher,nationality,63.901937,3.729123,321540.5846
Star,comment,53.828924,9.143412,10983.4296
Person,label,45.343430,23.026595,346.2329
Researcher,label,43.277410,22.411989,311.6046
Researcher,comment,39.439702,6.216749,10070.3472
Review_article,comment,32.688803,8.945288,1595.1923
Researcher,gender,30.664129,0.960308,998368.2491
Review_article,mainEntityOfPage,29.256935,7.409391,1801.2242
Review_article,inLanguage,28.688065,0.854356,1086144.7711
Review_article,dateCreated,28.161672,10.101545,610.1973
Politician,label,25.428905,23.270461,33.1815
Taxon,consumes,25.125586,6.395612,1523.4160
Person,gender,24.913203,0.892813,541297.6344
Taxon,label,16.959874,26.738166,4.3281
Star,label,12.633383,26.039626,1.4427
Chemical_compound,comment,12.502043,5.935082,116.8541
Star,sameAs,10.997808,21.644624,1.4427
Galaxy,sameAs,10.750552,20.998239,1.4427
Review_article,sameAs,10.741322,20.974205,1.4427
Researcher,sameAs,10.701571,20.870775,1.4427
Chemical_compound,sameAs,10.399279,20.088440,1.4427
Chemical_compound,url,10.193125,3.700440,213.0440
Politician,gender,10.186781,0.561487,60831.5513
Chemical_compound,manufacturer,8.889888,2.065077,709.2128
Galaxy,comment,7.413596,5.938098,14.4269
Researcher,type,0.000000,0.273624,0.0000
Chemical_compound,type,0.000000,0.024787,0.0000
Politician,type,0.000000,2.706786,0.0000
Politician,sameAs,0.000000,19.518378,0.0000
Galaxy,type,0.000000,0.007939,0.0000
Galaxy,label,0.000000,25.238488,0.0000
Taxon,type,0.000000,0.000089,0.0000
Taxon,sameAs,0.000000,21.741539,0.0000
Star,type,0.000000,0.045306,0.0000
Person,type,0.000000,0.000820,0.0000
Person,sameAs,0.000000,21.507998,0.0000
Review_article,type,0.000000,0.090279,0.0000
