class,predicate,ent_etimp,entf_bits,etimp
Taxon,mainEntityOfPage,357.560142,23.154388,1316729.2210
Taxon,sameAs,354.630532,20.447357,1850090.4559
Person,mainEntityOfPage,323.059418,19.734531,1417258.9103
Person,children,322.661602,19.553891,1449738.2264
Person,alternateName,319.625844,19.792341,1346096.0028
Taxon,alternateName,291.920341,19.974706,911205.2577
Person,comment,276.942250,18.104487,991284.1680
Taxon,image,274.968604,17.821625,1009928.2841
Person,birthDate,254.804449,13.974518,1544605.2818
Galaxy,mainEntityOfPage,254.415085,18.030258,714768.8797
Star,radialVelocity,251.587466,14.011164,1456576.7095
Galaxy,radialVelocity,250.080216,15.311804,1089527.5631
Star,distanceFromEarth,249.411708,15.756150,989274.9807
Person,deathDate,247.953252,13.409678,1567560.1551
Star,parallax,216.351558,15.448916,594218.3721
AdministrativeArea,sameAs,194.416585,17.360451,273055.0458
Chemical_compound,alternateName,194.179831,17.316064,273822.3519
AdministrativeArea,geo,182.642300,18.480554,176303.3155
AdministrativeArea,alternateName,160.506531,16.288603,153574.5862
AdministrativeArea,mainEntityOfPage,155.982493,20.306707,70694.3823
Chemical_compound,mainEntityOfPage,154.580977,16.716444,122234.1250
Star,alternateName,146.996360,16.089145,112105.6283
AdministrativeArea,elevation,138.387290,11.198566,261154.5113
Chemical_compound,sameAs,132.828602,14.185970,109040.8569
Star,mainEntityOfPage,130.666376,15.199596,83015.5186
Star,sameAs,114.346700,13.117355,75745.3000
Galaxy,distanceFromEarth,113.963835,11.433603,112854.5132
Galaxy,alternateName,111.468456,14.332666,52435.6921
Galaxy,parallax,105.518511,12.590847,62108.3169
AdministrativeArea,comment,95.271960,8.957945,114613.3554
Taxon,parentTaxon,92.205844,15.885856,18030.2558
Galaxy,sameAs,89.092203,11.984698,36599.6979
AdministrativeArea,location,81.861731,10.501831,38772.9338
Chemical_compound,label,81.420282,20.234430,5304.6596
Chemical_compound,image,76.110940,11.435114,22442.2743
Taxon,comment,71.281770,8.790942,38002.1081
Star,comment,53.828924,9.143412,10983.4296
Person,label,45.343430,23.026595,346.2329
AdministrativeArea,label,27.223810,20.851140,60.5907
Taxon,consumes,25.125586,6.395612,1523.4160
Person,gender,24.913203,0.892813,541297.6344
Taxon,label,16.959874,26.738166,4.3281
Star,label,12.633383,26.039626,1.4427
Chemical_compound,comment,12.502043,5.935082,116.8541
Star,sameAs,10.997808,21.644624,1.4427
Galaxy,sameAs,10.750552,20.998239,1.4427
Chemical_compound,sameAs,10.399279,20.088440,1.4427
Chemical_compound,url,10.193125,3.700440,213.0440
Chemical_compound,manufacturer,8.889888,2.065077,709.2128
Galaxy,comment,7.413596,5.938098,14.4269
Chemical_compound,type,0.000000,0.024787,0.0000
Taxon,type,0.000000,0.000089,0.0000
Taxon,sameAs,0.000000,21.741539,0.0000
Person,sameAs,0.000000,21.507998,0.0000
Person,type,0.000000,0.000820,0.0000
Galaxy,type,0.000000,0.007939,0.0000
Galaxy,label,0.000000,25.238488,0.0000
AdministrativeArea,sameAs,0.000000,18.983400,0.0000
AdministrativeArea,type,0.000000,0.218878,0.0000
Star,type,0.000000,0.045306,0.0000
