entity,literal_properties,inforank
Earth,4152,0.000003677355
Bracket,3785,0.000003352309
Desireé_Cousteau,3251,0.000002879354
Olwen_Brogan,2581,0.000002285947
Eleni-Alexandra_Amburger_Q20800727,2567,0.000002273547
Wsv_Ilmenau_Q55170822,2146,0.000001900675
United_States,1841,0.000001630542
Poland,1672,0.000001480861
Tatjana_Gordienko_Q27893690,1668,0.000001477319
Eduard_Crăciun_Q105599653,1666,0.000001475547
Main_Page,1537,0.000001361294
Thomas_Dempster,1527,0.000001352437
Ecuador,1524,0.000001349780
Switzerland,1433,0.000001269183
Q87532705,1354,0.000001199214
Q87496387,1354,0.000001199214
Conrad_M_U002E__Stibbe_Q1126891,1311,0.000001161130
Karl_Jakob_Weber,1309,0.000001159359
Liselotte_Welskopf-Henrich,1308,0.000001158473
Walter-Herwig_Schuchhardt,1306,0.000001156702
France,1305,0.000001155816
Mandy_Mystery_Q1889104,1302,0.000001153159
Evelyn_Hartnick-Geismeier_Q1381751,1301,0.000001152273
Elfriede_Knauer,1295,0.000001146959
Jonathan_Gustafson,1248,0.000001105332
Sofía_Ugarriza_Q62752201,1248,0.000001105332
Dawn_Richardson_Wilson,1246,0.000001103561
Minecraft,1242,0.000001100018
Christianity,1230,0.000001089390
Mina_Schreiber_Q27567934,1201,0.000001063705
Basshunter,1192,0.000001055734
Schlomo_Samson_Q90487401,1188,0.000001052191
Kwan_Ting_Sean_Q111693465,1184,0.000001048648
Irving_L_U002E__Finston_Q107285919,1179,0.000001044220
North_Macedonia,1170,0.000001036249
Jess_Wade,1161,0.000001028278
Germany,1152,0.000001020306
Friederike_Sinn_Q20871698,1148,0.000001016764
Person,1147,0.000001015878
Attilâ_İlhan,1121,0.000000992850
Japan,1113,0.000000985765
China,1111,0.000000983993
Russia,1102,0.000000976022
Myles_Burnyeat,1101,0.000000975137
Arthur_Dale_Trendall,1099,0.000000973365
Republic_of_Ireland,1098,0.000000972480
Gisela_Richter,1093,0.000000968051
John_Manuel_Cook,1085,0.000000960966
Sg_Nickelhütte_Aue_Q60540266,1078,0.000000954766
Mustafa_Kemal_Atatürk,1071,0.000000948566
