class,predicate,distinct_objects,total_objects,uniqueness
Taxon,label,112073637,112395821,0.997133
Star,label,68978270,68979437,0.999983
Galaxy,label,39588665,39595371,0.999831
Person,label,11025477,12909843,0.854036
Politician,label,10265597,10512644,0.976500
Taxon,mainEntityOfPage,9336100,9336106,0.999999
Researcher,label,5847428,6153435,0.950271
Review_article,label,5091742,5136309,0.991323
Taxon,sameAs,3506350,3506350,1.000000
Star,sameAs,3278544,3278544,1.000000
Person,sameAs,2982308,2982308,1.000000
Galaxy,sameAs,2094594,2094594,1.000000
Review_article,sameAs,2059989,2059989,1.000000
Researcher,sameAs,1917473,1917473,1.000000
Politician,mainEntityOfPage,1769421,1769422,0.999999
Person,comment,1578666,3301645,0.478145
Taxon,sameAs,1431408,1435570,0.997101
Chemical_compound,label,1234051,1235200,0.999070
Politician,alternateName,1170235,1216515,0.961957
Chemical_compound,sameAs,1114867,1114867,1.000000
Person,alternateName,1112837,1340693,0.830046
Taxon,alternateName,1061374,1090503,0.973288
Person,mainEntityOfPage,872340,872340,1.000000
Researcher,comment,832360,8614676,0.096621
Person,children,812145,1262571,0.643247
Politician,comment,801927,11407202,0.070300
Politician,sameAs,750961,750961,1.000000
Researcher,alternateName,664013,687838,0.965362
Taxon,comment,618431,47685225,0.012969
Person,spouse,484654,526450,0.920608
Politician,sameAs,478907,479061,0.999679
Person,sameAs,376654,376737,0.999780
Taxon,parentTaxon,347353,3503356,0.099149
Review_article,author,295671,895707,0.330098
Galaxy,mainEntityOfPage,267700,267700,1.000000
Researcher,sameAs,258886,258916,0.999884
Taxon,image,248136,296754,0.836167
Politician,image,193322,193881,0.997117
Star,distanceFromEarth,188176,2495067,0.075419
Review_article,comment,178489,94004556,0.001899
Chemical_compound,alternateName,170706,175612,0.972063
Galaxy,radialVelocity,134098,931177,0.144009
Person,deathDate,129706,948334,0.136772
Person,birthDate,123864,1346905,0.091962
Chemical_compound,mainEntityOfPage,107684,107684,1.000000
Star,parallax,101963,2849733,0.035780
Politician,children,97494,99473,0.980105
Politician,birthPlace,91679,357013,0.256795
Politician,birthDate,91074,585452,0.155562
Politician,deathDate,84030,310481,0.270645
Person,image,76896,77758,0.988914
Star,alternateName,69805,69847,0.999399
Star,radialVelocity,69357,1990724,0.034840
Person,birthPlace,67878,298414,0.227463
Researcher,url,57737,57741,0.999931
Politician,spouse,46824,47569,0.984339
Researcher,worksFor,42947,937863,0.045792
Star,mainEntityOfPage,37630,37630,1.000000
Politician,deathPlace,35110,164547,0.213374
Review_article,about,34652,1267077,0.027348
Researcher,mainEntityOfPage,32004,32004,1.000000
Person,deathPlace,29595,171843,0.172221
Politician,alumniOf,23407,231072,0.101297
Galaxy,alternateName,20633,20633,1.000000
Chemical_compound,sameAs,18647,18670,0.998768
Politician,memberOf,17517,417205,0.041987
Politician,url,16624,16659,0.997899
Researcher,alumniOf,16213,478963,0.033850
Researcher,doctoralAdvisor,15070,23642,0.637425
Person,alumniOf,13445,306021,0.043935
Person,homeLocation,12586,133131,0.094538
Person,worksFor,11417,40825,0.279657
Politician,homeLocation,10131,47315,0.214118
Review_article,alternateName,9898,9924,0.997380
Review_article,dateCreated,9112,2059567,0.004424
Politician,worksFor,8989,29781,0.301837
Star,sameAs,8887,8889,0.999775
Researcher,birthDate,8700,61735,0.140925
Politician,candidateIn,8394,130795,0.064177
Politician,award,7899,153111,0.051590
Person,url,6787,6807,0.997062
Person,memberOf,6704,70460,0.095146
Galaxy,parallax,6523,7675,0.849902
Galaxy,distanceFromEarth,6331,16335,0.387573
Person,award,5489,220157,0.024932
Chemical_compound,comment,4932,38473520,0.000128
Star,comment,4525,24343385,0.000186
Researcher,image,4325,4330,0.998845
Researcher,birthPlace,4211,9368,0.449509
Galaxy,sameAs,4056,4063,0.998277
Politician,type,3076,1027717,0.002993
Person,affiliation,2885,14680,0.196526
Chemical_compound,image,2772,2780,0.997122
Researcher,award,2760,15334,0.179992
Galaxy,comment,2660,21879762,0.000122
Researcher,affiliation,2542,11312,0.224717
Politician,owns,1971,2261,0.871738
Researcher,deathDate,1898,2721,0.697538
Politician,notableWork,1885,1895,0.994723
Researcher,memberOf,1499,7971,0.188057
Star,luminosity,1484,1602,0.926342
Researcher,type,1438,1954414,0.000736
Person,owns,1400,1552,0.902062
Researcher,studentOf,1077,1523,0.707157
Galaxy,image,872,899,0.969967
Star,mass,785,1783,0.440269
Researcher,deathPlace,679,1034,0.656673
Politician,affiliation,634,4340,0.146083
Politician,knowsLanguage,631,473952,0.001331
Researcher,spouse,548,549,0.998179
Researcher,homeLocation,516,877,0.588369
Politician,influencedBy,504,680,0.741176
Politician,academicDegree,502,29555,0.016985
Politician,appearsIn,438,835,0.524551
Researcher,notableWork,425,464,0.915948
Person,knowsLanguage,397,118470,0.003351
Star,image,350,359,0.974930
Person,academicDegree,287,56617,0.005069
Researcher,academicDegree,278,15287,0.018185
Politician,nationality,228,504014,0.000452
Researcher,children,227,230,0.986957
Person,nationality,222,228364,0.000972
Politician,performer,206,211,0.976303
Researcher,knowsLanguage,183,65566,0.002791
Politician,beliefSystem,182,26579,0.006848
Review_article,mainEntityOfPage,170,170,1.000000
Politician,doctoralAdvisor,167,171,0.976608
Person,beliefSystem,163,37681,0.004326
Chemical_compound,type,154,1116931,0.000138
Researcher,nationality,148,66539,0.002224
Taxon,consumes,127,220,0.577273
Researcher,influencedBy,115,121,0.950413
Politician,author,112,185,0.605405
Researcher,candidateIn,86,139,0.618705
Politician,studentOf,80,82,0.975610
Star,type,70,3291041,0.000021
Researcher,performer,68,68,1.000000
Researcher,appearsIn,67,68,0.985294
Review_article,url,60,60,1.000000
Galaxy,type,45,2095649,0.000021
Review_article,type,42,2080146,0.000020
Review_article,inLanguage,37,673114,0.000055
Person,type,35,2982430,0.000012
Review_article,image,28,28,1.000000
Researcher,beliefSystem,24,173,0.138728
Person,gender,15,2578437,0.000006
Researcher,owns,15,15,1.000000
Politician,sportNumber,15,17,0.882353
Chemical_compound,manufacturer,13,51,0.254902
Chemical_compound,url,13,13,1.000000
Researcher,author,12,13,0.923077
Politician,gender,11,707514,0.000016
Person,appearsIn,8,11,0.727273
Review_article,sameAs,8,8,1.000000
Researcher,gender,8,572529,0.000014
Politician,playsIn,8,117,0.068376
Star,parentBody,7,9,0.777778
Taxon,type,5,3506365,0.000001
Chemical_compound,dateCreated,5,5,1.000000
Chemical_compound,material,5,5,1.000000
Galaxy,parentBody,4,11,0.363636
Taxon,url,3,3,1.000000
Galaxy,mass,3,3,1.000000
Chemical_compound,about,3,3,1.000000
Review_article,numberOfPages,2,2,1.000000
Researcher,sportNumber,2,2,1.000000
Star,location,1,2,0.500000
Galaxy,url,1,1,1.000000
Galaxy,luminosity,1,1,1.000000
Review_article,isbn,1,1,1.000000
Review_article,publisher,1,1,1.000000
Researcher,playsIn,1,1,1.000000
