class,predicate,distinct_objects,total_objects,uniqueness
Taxon,label,112073637,112395821,0.997133
Star,label,68978270,68979437,0.999983
Galaxy,label,39588665,39595371,0.999831
Person,label,11025477,12909843,0.854036
Taxon,mainEntityOfPage,9336100,9336106,0.999999
Taxon,sameAs,3506350,3506350,1.000000
Star,sameAs,3278544,3278544,1.000000
Person,sameAs,2982308,2982308,1.000000
AdministrativeArea,label,2224568,2507765,0.887072
Galaxy,sameAs,2094594,2094594,1.000000
Person,comment,1578666,3301645,0.478145
Taxon,sameAs,1431408,1435570,0.997101
AdministrativeArea,mainEntityOfPage,1296965,1296967,0.999998
Chemical_compound,label,1234051,1235200,0.999070
Chemical_compound,sameAs,1114867,1114867,1.000000
Person,alternateName,1112837,1340693,0.830046
Taxon,alternateName,1061374,1090503,0.973288
Person,mainEntityOfPage,872340,872340,1.000000
Person,children,812145,1262571,0.643247
Taxon,comment,618431,47685225,0.012969
AdministrativeArea,sameAs,518290,518290,1.000000
Person,spouse,484654,526450,0.920608
Person,sameAs,376654,376737,0.999780
AdministrativeArea,geo,368545,373739,0.986103
Taxon,parentTaxon,347353,3503356,0.099149
Galaxy,mainEntityOfPage,267700,267700,1.000000
Taxon,image,248136,296754,0.836167
Star,distanceFromEarth,188176,2495067,0.075419
Chemical_compound,alternateName,170706,175612,0.972063
AdministrativeArea,sameAs,168302,168375,0.999566
Galaxy,radialVelocity,134098,931177,0.144009
Person,deathDate,129706,948334,0.136772
Person,birthDate,123864,1346905,0.091962
Chemical_compound,mainEntityOfPage,107684,107684,1.000000
Star,parallax,101963,2849733,0.035780
AdministrativeArea,comment,98665,3056601,0.032279
AdministrativeArea,alternateName,81016,82304,0.984351
Person,image,76896,77758,0.988914
Star,alternateName,69805,69847,0.999399
Star,radialVelocity,69357,1990724,0.034840
Person,birthPlace,67878,298414,0.227463
AdministrativeArea,location,40883,751099,0.054431
Star,mainEntityOfPage,37630,37630,1.000000
Person,deathPlace,29595,171843,0.172221
AdministrativeArea,image,25020,25205,0.992660
Galaxy,alternateName,20633,20633,1.000000
Chemical_compound,sameAs,18647,18670,0.998768
Person,alumniOf,13445,306021,0.043935
AdministrativeArea,postalCode,13214,21656,0.610177
Person,homeLocation,12586,133131,0.094538
Person,worksFor,11417,40825,0.279657
Star,sameAs,8887,8889,0.999775
Person,url,6787,6807,0.997062
Person,memberOf,6704,70460,0.095146
Galaxy,parallax,6523,7675,0.849902
AdministrativeArea,elevation,6400,133672,0.047878
Galaxy,distanceFromEarth,6331,16335,0.387573
Person,award,5489,220157,0.024932
AdministrativeArea,populationNumber,5167,58996,0.087582
Chemical_compound,comment,4932,38473520,0.000128
Star,comment,4525,24343385,0.000186
Galaxy,sameAs,4056,4063,0.998277
AdministrativeArea,area,3786,11782,0.321338
Person,affiliation,2885,14680,0.196526
Chemical_compound,image,2772,2780,0.997122
Galaxy,comment,2660,21879762,0.000122
AdministrativeArea,url,1897,2035,0.932187
AdministrativeArea,neighbors,1556,2134,0.729147
Star,luminosity,1484,1602,0.926342
Person,owns,1400,1552,0.902062
AdministrativeArea,dateCreated,879,3164,0.277813
Galaxy,image,872,899,0.969967
Star,mass,785,1783,0.440269
Person,knowsLanguage,397,118470,0.003351
AdministrativeArea,demonym,382,452,0.845133
Star,image,350,359,0.974930
AdministrativeArea,type,329,529263,0.000622
Person,academicDegree,287,56617,0.005069
AdministrativeArea,capital,226,248,0.911290
Person,nationality,222,228364,0.000972
Person,beliefSystem,163,37681,0.004326
Chemical_compound,type,154,1116931,0.000138
AdministrativeArea,replaces,131,137,0.956204
Taxon,consumes,127,220,0.577273
Star,type,70,3291041,0.000021
Galaxy,type,45,2095649,0.000021
AdministrativeArea,memberOf,36,42,0.857143
Person,type,35,2982430,0.000012
AdministrativeArea,leader,28,32,0.875000
AdministrativeArea,address,25,25,1.000000
AdministrativeArea,ownedBy,20,23,0.869565
Person,gender,15,2578437,0.000006
AdministrativeArea,highestPoint,13,13,1.000000
Chemical_compound,manufacturer,13,51,0.254902
Chemical_compound,url,13,13,1.000000
AdministrativeArea,dissolutionDate,11,11,1.000000
AdministrativeArea,founder,9,9,1.000000
Person,appearsIn,8,11,0.727273
Star,parentBody,7,9,0.777778
AdministrativeArea,appearsIn,7,7,1.000000
Taxon,type,5,3506365,0.000001
AdministrativeArea,logo,5,5,1.000000
AdministrativeArea,slogan,5,5,1.000000
AdministrativeArea,flowsInto,5,5,1.000000
Chemical_compound,dateCreated,5,5,1.000000
Chemical_compound,material,5,5,1.000000
Galaxy,parentBody,4,11,0.363636
AdministrativeArea,length,4,4,1.000000
AdministrativeArea,studentsCount,4,4,1.000000
Taxon,url,3,3,1.000000
Galaxy,mass,3,3,1.000000
Chemical_compound,about,3,3,1.000000
AdministrativeArea,numberOfEmployees,2,2,1.000000
Star,location,1,2,0.500000
Galaxy,url,1,1,1.000000
Galaxy,luminosity,1,1,1.000000
