class,predicate,entropy_bits,values,distinct_values
Taxon,label,26.738166,112395821,112073637
Star,label,26.039626,68979437,68978270
Galaxy,label,25.238488,39595371,39588665
Politician,label,23.270461,10512644,10265597
Taxon,mainEntityOfPage,23.154388,9336106,9336100
Person,label,23.026595,12909843,11025477
Researcher,label,22.411989,6153435,5847428
Review_article,label,22.268567,5136309,5091742
Taxon,sameAs,21.741539,3506350,3506350
Star,sameAs,21.644624,3278544,3278544
Person,sameAs,21.507998,2982308,2982308
Galaxy,sameAs,20.998239,2094594,2094594
Review_article,sameAs,20.974205,2059989,2059989
Researcher,sameAs,20.870775,1917473,1917473
Politician,mainEntityOfPage,20.754846,1769422,1769421
Taxon,sameAs,20.447357,1435570,1431408
Chemical_compound,label,20.234430,1235200,1234051
Politician,alternateName,20.101384,1216515,1170235
Chemical_compound,sameAs,20.088440,1114867,1114867
Taxon,alternateName,19.974706,1090503,1061374
Person,alternateName,19.792341,1340693,1112837
Person,mainEntityOfPage,19.734531,872340,872340
Person,children,19.553891,1262571,812145
Politician,sameAs,19.518378,750961,750961
Researcher,alternateName,19.306523,687838,664013
Politician,sameAs,18.869207,479061,478907
Person,comment,18.104487,3301645,1578666
Galaxy,mainEntityOfPage,18.030258,267700,267700
Researcher,sameAs,17.981706,258916,258886
Taxon,image,17.821625,296754,248136
Chemical_compound,alternateName,17.316064,175612,170706
Review_article,author,17.161735,895707,295671
Chemical_compound,mainEntityOfPage,16.716444,107684,107684
Star,alternateName,16.089145,69847,69805
Taxon,parentTaxon,15.885856,3503356,347353
Star,distanceFromEarth,15.756150,2495067,188176
Star,parallax,15.448916,2849733,101963
Galaxy,radialVelocity,15.311804,931177,134098
Star,mainEntityOfPage,15.199596,37630,37630
Politician,birthDate,15.059507,585452,91074
Galaxy,alternateName,14.332666,20633,20633
Chemical_compound,sameAs,14.185970,18670,18647
Star,radialVelocity,14.011164,1990724,69357
Person,birthDate,13.974518,1346905,123864
Person,deathDate,13.409678,948334,129706
Review_article,alternateName,13.269899,9924,9898
Star,sameAs,13.117355,8889,8887
Galaxy,parallax,12.590847,7675,6523
Researcher,worksFor,12.297137,937863,42947
Galaxy,sameAs,11.984698,4063,4056
Politician,comment,11.816249,11407202,801927
Chemical_compound,image,11.435114,2780,2772
Galaxy,distanceFromEarth,11.433603,16335,6331
Review_article,about,11.131866,1267077,34652
Researcher,alumniOf,10.904464,478963,16213
Review_article,dateCreated,10.101545,2059567,9112
Star,comment,9.143412,24343385,4525
Review_article,comment,8.945288,94004556,178489
Taxon,comment,8.790942,47685225,618431
Review_article,mainEntityOfPage,7.409391,170,170
Taxon,consumes,6.395612,220,127
Researcher,comment,6.216749,8614676,832360
Galaxy,comment,5.938098,21879762,2660
Chemical_compound,comment,5.935082,38473520,4932
Politician,nationality,4.954564,504014,228
Researcher,nationality,3.729123,66539,148
Chemical_compound,url,3.700440,13,13
Politician,type,2.706786,1027717,3076
Chemical_compound,manufacturer,2.065077,51,13
Researcher,gender,0.960308,572529,8
Person,gender,0.892813,2578437,15
Review_article,inLanguage,0.854356,673114,37
Politician,gender,0.561487,707514,11
Researcher,type,0.273624,1954414,1438
Review_article,type,0.090279,2080146,42
Star,type,0.045306,3291041,70
Chemical_compound,type,0.024787,1116931,154
Galaxy,type,0.007939,2095649,45
Person,type,0.000820,2982430,35
Taxon,type,0.000089,3506365,5
