class,predicate,entropy_bits,values,distinct_values
Taxon,label,26.738166,112395821,112073637
Star,label,26.039626,68979437,68978270
Galaxy,label,25.238488,39595371,39588665
Taxon,mainEntityOfPage,23.154388,9336106,9336100
Person,label,23.026595,12909843,11025477
Taxon,sameAs,21.741539,3506350,3506350
Star,sameAs,21.644624,3278544,3278544
Person,sameAs,21.507998,2982308,2982308
Galaxy,sameAs,20.998239,2094594,2094594
AdministrativeArea,label,20.851140,2507765,2224568
Taxon,sameAs,20.447357,1435570,1431408
AdministrativeArea,mainEntityOfPage,20.306707,1296967,1296965
Chemical_compound,label,20.234430,1235200,1234051
Chemical_compound,sameAs,20.088440,1114867,1114867
Taxon,alternateName,19.974706,1090503,1061374
Person,alternateName,19.792341,1340693,1112837
Person,mainEntityOfPage,19.734531,872340,872340
Person,children,19.553891,1262571,812145
AdministrativeArea,sameAs,18.983400,518290,518290
AdministrativeArea,geo,18.480554,373739,368545
Person,comment,18.104487,3301645,1578666
Galaxy,mainEntityOfPage,18.030258,267700,267700
Taxon,image,17.821625,296754,248136
AdministrativeArea,sameAs,17.360451,168375,168302
Chemical_compound,alternateName,17.316064,175612,170706
Chemical_compound,mainEntityOfPage,16.716444,107684,107684
AdministrativeArea,alternateName,16.288603,82304,81016
Star,alternateName,16.089145,69847,69805
Taxon,parentTaxon,15.885856,3503356,347353
Star,distanceFromEarth,15.756150,2495067,188176
Star,parallax,15.448916,2849733,101963
Galaxy,radialVelocity,15.311804,931177,134098
Star,mainEntityOfPage,15.199596,37630,37630
Galaxy,alternateName,14.332666,20633,20633
Chemical_compound,sameAs,14.185970,18670,18647
Star,radialVelocity,14.011164,1990724,69357
Person,birthDate,13.974518,1346905,123864
Person,deathDate,13.409678,948334,129706
Star,sameAs,13.117355,8889,8887
Galaxy,parallax,12.590847,7675,6523
Galaxy,sameAs,11.984698,4063,4056
Chemical_compound,image,11.435114,2780,2772
Galaxy,distanceFromEarth,11.433603,16335,6331
AdministrativeArea,elevation,11.198566,133672,6400
AdministrativeArea,location,10.501831,751099,40883
Star,comment,9.143412,24343385,4525
AdministrativeArea,comment,8.957945,3056601,98665
Taxon,comment,8.790942,47685225,618431
Taxon,consumes,6.395612,220,127
Galaxy,comment,5.938098,21879762,2660
Chemical_compound,comment,5.935082,38473520,4932
Chemical_compound,url,3.700440,13,13
Chemical_compound,manufacturer,2.065077,51,13
Person,gender,0.892813,2578437,15
AdministrativeArea,type,0.218878,529263,329
Star,type,0.045306,3291041,70
Chemical_compound,type,0.024787,1116931,154
Galaxy,type,0.007939,2095649,45
Person,type,0.000820,2982430,35
Taxon,type,0.000089,3506365,5
