class,predicate,ent_etimp,entf_bits,etimp
Person,alternateName,438.285459,22.441476,3264930.8818
Person,sameAs,437.269778,23.197371,2928744.9993
AdministrativeArea,sameAs,321.409639,22.714331,910616.9460
Taxon,sameAs,321.304835,22.845377,893869.4271
Person,birthDate,310.983252,14.907995,2822866.0435
AdministrativeArea,alternateName,301.998864,20.354208,986412.5798
AdministrativeArea,geo,294.327601,19.380937,1030859.9525
Taxon,alternateName,272.752999,19.644854,730014.9461
Person,comment,256.981467,15.993278,1066092.1698
Taxon,image,256.737167,17.462129,815949.6744
Person,givenName,248.582461,10.917462,2934383.3440
AdministrativeArea,containsPlace,229.862057,19.892126,354670.8987
AdministrativeArea,location,199.698297,13.065404,713064.5969
Chemical_compound,alternateName,197.527846,17.926327,264264.8373
Person,hasOccupation,177.665809,7.032423,2864840.7585
AdministrativeArea,containedInPlace,170.170255,15.803538,212457.3014
Chemical_compound,sameAs,163.430186,17.310231,137537.3009
Galaxy,sameAs,138.126095,17.241695,71017.1268
Star,sameAs,137.694840,15.524450,96077.5676
Star,alternateName,119.741999,15.142339,59211.6387
Galaxy,alternateName,108.390900,14.679098,43638.8346
Chemical_compound,comment,101.622056,5.828951,538493.8800
AdministrativeArea,comment,101.224029,8.307885,183089.3225
Star,comment,100.389885,5.478160,617811.1739
Galaxy,image,89.534762,12.062012,36619.0825
Taxon,parentTaxon,88.798496,15.778647,15827.5314
Chemical_compound,label,82.928228,20.189991,5746.4702
Galaxy,comment,82.004982,5.043762,352449.6949
Chemical_compound,image,68.067491,10.891632,16614.2259
Person,label,57.400538,25.667374,641.9771
Chemical_compound,inChIKey,53.459401,9.753217,8803.4466
Chemical_compound,smiles,51.077573,9.420373,8141.7310
Taxon,comment,48.981366,8.470386,9471.3948
AdministrativeArea,label,42.426623,23.280541,256.7880
Star,image,37.974600,8.119116,3885.4973
Taxon,label,26.119339,25.266705,28.8538
Person,gender,26.052525,0.765813,1025725.7093
Chemical_compound,bioChemInteraction,22.264266,5.855923,1223.6227
Taxon,taxonRank,13.157157,1.025027,27825.4478
Star,label,10.840136,21.231866,1.4427
Taxon,award,7.655341,2.127388,356.7123
Galaxy,type,0.000000,1.593953,0.0000
Galaxy,sameAs,0.000000,20.351850,0.0000
Galaxy,label,0.000000,21.385940,0.0000
Person,sameAs,0.000000,23.019589,0.0000
Person,type,0.000000,1.589151,0.0000
AdministrativeArea,type,0.000000,3.140451,0.0000
AdministrativeArea,sameAs,0.000000,21.302780,0.0000
Chemical_compound,sameAs,0.000000,19.988011,0.0000
Chemical_compound,type,0.000000,2.050389,0.0000
Star,type,0.000000,1.600553,0.0000
Star,containedInPlace,0.000000,0.000000,39.4075
Star,sameAs,0.000000,20.708607,0.0000
Taxon,type,0.000000,1.060773,0.0000
Taxon,sameAs,0.000000,21.630865,0.0000
