node,entropy_weighted,unweighted,rank_weighted,rank_unweighted,rank_shift
Texas,38.70747505,114.33524825,1,1,0
Georgia_(U.S._state),24.23480033,70.94876124,2,2,0
Virginia,18.70709969,54.67826219,3,3,0
Kentucky,18.39269685,53.94030919,4,4,0
Missouri,17.61888100,51.64670328,5,5,0
Kansas,16.10619912,47.06047834,6,6,0
Illinois,15.64891176,45.68490974,7,7,0
North_Carolina,15.23525949,43.73671190,8,9,1
Iowa,15.19162929,44.30949987,9,8,-1
Tennessee,14.58192773,42.47589111,10,10,0
Nebraska,14.16879944,40.53884092,11,12,1
Indiana,14.12465850,41.10090833,12,11,-1
Ohio,13.40711015,38.25623873,13,14,1
Minnesota,13.36255812,38.80975094,14,13,-1
Michigan,12.62246422,36.23788913,15,16,1
Mississippi,12.60047932,36.51928181,16,15,-1
Oklahoma,11.83842612,34.22962352,17,17,0
Arkansas,11.53361311,33.31402039,18,18,0
Wisconsin,11.07640362,31.94092965,19,19,0
Pennsylvania,10.31441834,29.65339514,20,20,0
Alabama,10.20891510,28.68993244,21,21,0
Florida,10.09739484,27.81176008,22,22,0
South_Dakota,9.90443112,27.78123483,23,23,0
Louisiana,9.59997232,26.87309114,24,24,0
Colorado,9.58874772,26.87309114,25,25,0
New_York_(state),9.44775308,26.41924128,26,26,0
California,8.83895122,24.60547226,27,28,1
Montana,8.63822797,24.62625599,28,27,-1
West_Virginia,8.48586262,24.16971533,29,29,0
North_Dakota,8.18114166,23.25692489,30,30,0
South_Carolina,7.01350609,19.18450112,31,31,0
Idaho,6.70945645,18.28494551,32,33,1
Canton_of_Geneva,6.37352177,18.80407168,33,32,-1
Masovian_Voivodeship,6.35397088,17.35052828,34,34,0
Washington_(state),5.94967392,16.04285937,35,36,1
Oregon,5.59180221,15.52111294,36,37,1
Silesian_Voivodeship,5.55604651,15.29438356,37,38,1
Greater_Poland_Voivodeship,5.40384163,14.84195334,38,39,1
Lower_Silesian_Voivodeship,4.52990982,11.96911702,39,41,2
Utah,4.52634184,12.35624860,40,40,0
United_States,4.26449571,16.47229245,41,35,-6
New_Mexico,4.13628620,9.58122658,42,48,6
Iran,3.98818261,7.90328810,43,57,14
Maryland,3.83464741,10.57851226,44,42,-2
Podkarpackie_Voivodeship,3.78987064,10.16067535,45,44,-1
Guayas_Province,3.75579096,9.93218219,46,46,0
Lublin_Voivodeship,3.75168281,9.94539830,47,45,-2
Łódź_Voivodeship,3.74170924,9.89495308,48,47,-1
Canton_of_Schaffhausen,3.71384767,10.44746105,49,43,-6
