class,predicate,distinct_objects,total_objects,uniqueness
Person,label,57457277,61894458,0.928311
Human,label,57413678,61848838,0.928290
Taxon,label,40421000,40550935,0.996796
AdministrativeArea,label,15208914,20268021,0.750390
Organization,label,12224767,13072503,0.935151
Person,sameAs,9618438,9618447,0.999999
Human,sameAs,9599561,9599569,0.999999
Person,sameAs,8503294,8503308,0.999998
Human,sameAs,8489656,8489670,0.999998
Landform,label,7780065,9427243,0.825275
Taxon,sameAs,7536047,7536047,1.000000
AdministrativeArea,sameAs,6881689,6881690,1.000000
BioChemEntity,label,6602680,7355615,0.897638
Person,alternateName,6179153,6580236,0.939047
Human,alternateName,6166049,6566860,0.938965
Organization,sameAs,5936957,5936958,1.000000
Landform,sameAs,4741402,4741403,1.000000
Person,comment,4509219,37337785,0.120768
Human,comment,4504082,37317467,0.120696
GeoCoordinates,longitude,3864956,6372580,0.606498
BioChemEntity,sameAs,3289515,3289518,0.999999
Taxon,sameAs,3247519,3247755,0.999927
Landform,sameAs,3208421,3208430,0.999997
GeoCoordinates,latitude,3182870,6358105,0.500600
Organization,sameAs,2967260,2967308,0.999984
Landform,geo,2824502,2871434,0.983656
AdministrativeArea,sameAs,2586892,2586929,0.999986
BioChemEntity,alternateName,2033451,3752913,0.541833
Organization,alternateName,1925433,1986347,0.969334
BioChemEntity,comment,1628882,22776448,0.071516
AdministrativeArea,alternateName,1392922,1451896,0.959381
AdministrativeArea,containsPlace,986880,1015598,0.971723
Organization,comment,946430,5706434,0.165853
BioChemEntity,encodesBioChemEntity,939341,949669,0.989125
BioChemEntity,isEncodedByBioChemEntity,919457,933012,0.985472
Person,image,843193,849220,0.992903
Human,image,842659,848670,0.992917
Taxon,alternateName,837777,848831,0.986977
Person,children,771505,1244673,0.619846
Human,children,771012,1244040,0.619765
AdministrativeArea,geo,699117,725129,0.964128
Landform,comment,648892,14672119,0.044226
Person,parent,600003,1241118,0.483438
Human,parent,599718,1240563,0.483424
Organization,url,591433,609869,0.969771
Organization,geo,577739,590135,0.978995
Taxon,comment,512911,42957212,0.011940
AdministrativeArea,comment,411224,34727533,0.011841
Landform,alternateName,339406,345115,0.983458
Organization,image,306841,315633,0.972145
Taxon,parentTaxon,289152,2722780,0.106197
BioChemEntity,sameAs,248134,248134,1.000000
AdministrativeArea,image,228611,244106,0.936523
Person,familyName,207275,2335320,0.088757
Human,familyName,207261,2335261,0.088753
Person,birthPlace,196327,2318103,0.084693
Human,birthPlace,196300,2317914,0.084688
Taxon,image,195869,243531,0.804288
Person,spouse,171873,186596,0.921097
Human,spouse,171710,186403,0.921176
AdministrativeArea,containedInPlace,155024,1958472,0.079156
Person,deathDate,154490,1927453,0.080152
Human,deathDate,154488,1927372,0.080155
Person,birthDate,143714,3891440,0.036931
Human,birthDate,143713,3891338,0.036932
Person,url,136979,137727,0.994569
Human,url,136688,137420,0.994673
AdministrativeArea,url,129079,134646,0.958655
Organization,location,126503,1430912,0.088407
Landform,image,124478,130729,0.952184
Organization,containsPlace,118326,118819,0.995851
Organization,containedInPlace,111688,1108236,0.100780
Person,deathPlace,84384,878945,0.096006
Human,deathPlace,84359,878828,0.095990
Organization,telephone,71906,73693,0.975751
Organization,subOrganization,66889,69371,0.964221
Person,memberOf,57296,1837746,0.031177
Human,memberOf,57292,1837740,0.031175
Landform,containedInPlace,54536,2314256,0.023565
Organization,logo,45351,47548,0.953794
Person,givenName,44511,3836212,0.011603
Human,givenName,44503,3835960,0.011602
Organization,foundingDate,38757,627409,0.061773
AdministrativeArea,location,37975,335693,0.113124
Person,alumniOf,36047,1004821,0.035874
Human,alumniOf,36046,1004808,0.035874
Organization,founder,26689,30930,0.862884
Organization,parentOrganization,21304,87768,0.242731
Person,award,21001,886815,0.023681
Human,award,20997,886800,0.023677
Organization,leiCode,20166,20168,0.999901
Person,homeLocation,18992,89853,0.211367
Human,homeLocation,18968,89809,0.211204
BioChemEntity,isInvolvedInBiologicalProcess,15931,1135374,0.014031
AdministrativeArea,foundingDate,9296,60818,0.152849
Organization,dissolutionDate,8575,69284,0.123766
Organization,faxNumber,6874,6967,0.986651
BioChemEntity,image,6700,6791,0.986600
BioChemEntity,hasMolecularFunction,6497,1139331,0.005702
Organization,foundingLocation,6408,33954,0.188726
Person,hasOccupation,5838,4964719,0.001176
Human,hasOccupation,5837,4964410,0.001176
Organization,icaoCode,3535,3877,0.911787
AdministrativeArea,elevation,3520,55654,0.063248
Landform,elevation,3115,4253,0.732424
Organization,type,2777,10238856,0.000271
Organization,elevation,2728,32402,0.084192
Landform,url,2723,2790,0.975986
Organization,memberOf,2652,42257,0.062759
Person,affiliation,2564,13877,0.184766
Human,affiliation,2562,13875,0.184649
AdministrativeArea,dissolutionDate,2409,19726,0.122123
BioChemEntity,isLocatedInSubcellularLocation,2364,797133,0.002966
BioChemEntity,inChIKey,2129,2130,0.999531
Landform,location,1769,4002,0.442029
Organization,award,1578,11567,0.136423
Organization,iataCode,1499,2944,0.509171
AdministrativeArea,type,1481,7711235,0.000192
Person,worksFor,1310,1534,0.853977
Human,worksFor,1307,1531,0.853690
AdministrativeArea,subOrganization,1295,1297,0.998458
Person,nationality,1286,3534492,0.000364
Human,nationality,1285,3534364,0.000364
Landform,type,1285,13577461,0.000095
BioChemEntity,inChI,1180,1180,1.000000
BioChemEntity,smiles,1080,1180,0.915254
Organization,genre,965,51095,0.018886
Organization,sponsor,927,1925,0.481558
BioChemEntity,molecularFormula,847,1161,0.729543
Person,knowsLanguage,808,859840,0.000940
Human,knowsLanguage,808,859823,0.000940
AdministrativeArea,leiCode,710,710,1.000000
AdministrativeArea,founder,689,763,0.903014
Person,owns,671,1301,0.515757
Human,owns,670,1300,0.515385
AdministrativeArea,logo,447,448,0.997768
Landform,foundingDate,409,786,0.520356
BioChemEntity,type,408,11221249,0.000036
AdministrativeArea,memberOf,335,14113,0.023737
BioChemEntity,url,305,316,0.965190
Organization,sport,304,93837,0.003240
Landform,containsPlace,284,284,1.000000
Organization,numberOfEmployees,255,778,0.327763
Person,telephone,250,251,0.996016
Human,telephone,249,250,0.996000
AdministrativeArea,numberOfEmployees,195,574,0.339721
Person,type,181,19295299,0.000009
Landform,telephone,178,202,0.881188
AdministrativeArea,telephone,160,179,0.893855
Landform,logo,146,150,0.973333
Person,height,140,556,0.251799
Human,height,140,556,0.251799
Person,honorificPrefix,133,35055,0.003794
Human,honorificPrefix,132,35042,0.003767
BioChemEntity,bioChemInteraction,113,1501,0.075283
AdministrativeArea,award,108,3074,0.035133
Human,type,107,19270720,0.000006
Organization,brand,102,153,0.666667
BioChemEntity,material,97,174,0.557471
Landform,dissolutionDate,87,154,0.564935
Organization,duns,84,84,1.000000
Organization,knowsLanguage,79,749,0.105474
Organization,servesCuisine,79,601,0.131448
Taxon,taxonRank,73,2707146,0.000027
Landform,faxNumber,57,77,0.740260
Taxon,type,56,5485735,0.000010
BioChemEntity,geo,53,54,0.981481
Landform,founder,46,49,0.938776
BioChemEntity,weight,45,47,0.957447
Landform,parentOrganization,38,47,0.808511
BioChemEntity,foundingDate,37,75,0.493333
BioChemEntity,containedInPlace,35,65,0.538462
BioChemEntity,location,33,62,0.532258
Person,faxNumber,30,30,1.000000
Human,faxNumber,29,29,1.000000
Landform,foundingLocation,28,33,0.848485
AdministrativeArea,faxNumber,25,25,1.000000
AdministrativeArea,parentOrganization,25,139,0.179856
Organization,broadcastChannelId,23,23,1.000000
Person,weight,22,22,1.000000
Human,weight,22,22,1.000000
Person,netWorth,16,19,0.842105
Human,netWorth,16,19,0.842105
Person,gender,15,5676543,0.000003
Human,gender,15,5675399,0.000003
Taxon,containedInPlace,14,14,1.000000
AdministrativeArea,knowsLanguage,14,15,0.933333
BioChemEntity,logo,12,12,1.000000
AdministrativeArea,iataCode,12,12,1.000000
Landform,award,11,18,0.611111
Landform,subOrganization,11,11,1.000000
AdministrativeArea,foundingLocation,11,11,1.000000
Landform,memberOf,10,13,0.769231
Taxon,url,9,9,1.000000
Person,callSign,8,8,1.000000
Human,callSign,8,8,1.000000
BioChemEntity,brand,8,39,0.205128
Taxon,award,7,21,0.333333
BioChemEntity,parentOrganization,6,7,0.857143
Organization,material,6,8,0.750000
BioChemEntity,parentTaxon,5,9,0.555556
Organization,callSign,5,5,1.000000
Landform,width,4,4,1.000000
Person,logo,3,3,1.000000
BioChemEntity,award,3,3,1.000000
BioChemEntity,dateCreated,3,3,1.000000
AdministrativeArea,sport,3,6,0.500000
Person,material,2,3,0.666667
BioChemEntity,dissolutionDate,2,2,1.000000
BioChemEntity,founder,2,2,1.000000
BioChemEntity,foundingLocation,2,2,1.000000
BioChemEntity,legalStatus,2,9,0.222222
BioChemEntity,leiCode,2,2,1.000000
BioChemEntity,license,2,2,1.000000
Landform,material,2,2,1.000000
Landform,weight,2,2,1.000000
Taxon,datePublished,2,2,1.000000
Taxon,geo,2,2,1.000000
Person,brand,1,1,1.000000
GeoCoordinates,type,1,6335654,0.000000
BioChemEntity,expressedIn,1,1,1.000000
BioChemEntity,taxonRank,1,3,0.333333
BioChemEntity,creator,1,1,1.000000
BioChemEntity,datePublished,1,1,1.000000
BioChemEntity,gtin,1,1,1.000000
BioChemEntity,provider,1,1,1.000000
Landform,callSign,1,1,1.000000
Landform,height,1,1,1.000000
Landform,leiCode,1,1,1.000000
Landform,numberOfEmployees,1,1,1.000000
Landform,sponsor,1,1,1.000000
Taxon,isPartOf,1,1,1.000000
Taxon,pagination,1,1,1.000000
Organization,height,1,1,1.000000
AdministrativeArea,sponsor,1,1,1.000000
