class,predicate,distinct_objects,total_objects,uniqueness
Person,label,57457277,61894458,0.928311
Taxon,label,40421000,40550935,0.996796
AdministrativeArea,label,15208914,20268021,0.750390
Person,sameAs,9618438,9618447,0.999999
Person,sameAs,8503294,8503308,0.999998
Taxon,sameAs,7536047,7536047,1.000000
AdministrativeArea,sameAs,6881689,6881690,1.000000
Person,alternateName,6179153,6580236,0.939047
Person,comment,4509219,37337785,0.120768
Taxon,sameAs,3247519,3247755,0.999927
Galaxy,label,2740432,2740549,0.999957
AdministrativeArea,sameAs,2586892,2586929,0.999986
Star,label,2462838,2462943,0.999957
Star,sameAs,1713609,1713609,1.000000
AdministrativeArea,alternateName,1392922,1451896,0.959381
Galaxy,sameAs,1338189,1338189,1.000000
Chemical_compound,label,1196592,1197646,0.999120
Chemical_compound,sameAs,1039899,1039900,0.999999
AdministrativeArea,containsPlace,986880,1015598,0.971723
Person,image,843193,849220,0.992903
Taxon,alternateName,837777,848831,0.986977
Person,children,771505,1244673,0.619846
AdministrativeArea,geo,699117,725129,0.964128
Person,parent,600003,1241118,0.483438
Taxon,comment,512911,42957212,0.011940
AdministrativeArea,comment,411224,34727533,0.011841
Taxon,parentTaxon,289152,2722780,0.106197
Chemical_compound,alternateName,264501,274178,0.964705
AdministrativeArea,image,228611,244106,0.936523
Person,familyName,207275,2335320,0.088757
Person,birthPlace,196327,2318103,0.084693
Taxon,image,195869,243531,0.804288
Person,spouse,171873,186596,0.921097
Chemical_compound,sameAs,162517,162517,1.000000
AdministrativeArea,containedInPlace,155024,1958472,0.079156
Galaxy,sameAs,154977,154977,1.000000
Person,deathDate,154490,1927453,0.080152
Person,birthDate,143714,3891440,0.036931
Person,url,136979,137727,0.994569
AdministrativeArea,url,129079,134646,0.958655
Person,deathPlace,84384,878945,0.096006
Person,memberOf,57296,1837746,0.031177
Star,sameAs,47133,47133,1.000000
Person,givenName,44511,3836212,0.011603
AdministrativeArea,location,37975,335693,0.113124
Star,alternateName,36373,36480,0.997067
Person,alumniOf,36047,1004821,0.035874
Galaxy,alternateName,26240,26258,0.999314
Person,award,21001,886815,0.023681
Person,homeLocation,18992,89853,0.211367
AdministrativeArea,foundingDate,9296,60818,0.152849
Chemical_compound,comment,6651,16081403,0.000414
Person,hasOccupation,5838,4964719,0.001176
Galaxy,image,4336,4450,0.974382
AdministrativeArea,elevation,3520,55654,0.063248
Star,comment,3483,312905,0.011131
Person,affiliation,2564,13877,0.184766
AdministrativeArea,dissolutionDate,2409,19726,0.122123
Galaxy,comment,2073,6064874,0.000342
Chemical_compound,image,1903,1910,0.996335
AdministrativeArea,type,1481,7711235,0.000192
Person,worksFor,1310,1534,0.853977
AdministrativeArea,subOrganization,1295,1297,0.998458
Person,nationality,1286,3534492,0.000364
Chemical_compound,inChIKey,863,863,1.000000
Person,knowsLanguage,808,859840,0.000940
Chemical_compound,inChI,768,768,1.000000
Chemical_compound,smiles,714,789,0.904943
AdministrativeArea,leiCode,710,710,1.000000
AdministrativeArea,founder,689,763,0.903014
Person,owns,671,1301,0.515757
Chemical_compound,molecularFormula,524,788,0.664975
AdministrativeArea,logo,447,448,0.997768
AdministrativeArea,memberOf,335,14113,0.023737
Star,image,295,315,0.936508
Person,telephone,250,251,0.996016
AdministrativeArea,numberOfEmployees,195,574,0.339721
Person,type,181,19295299,0.000009
Chemical_compound,type,176,4080358,0.000043
AdministrativeArea,telephone,160,179,0.893855
Person,height,140,556,0.251799
Person,honorificPrefix,133,35055,0.003794
Chemical_compound,bioChemInteraction,113,1501,0.075283
AdministrativeArea,award,108,3074,0.035133
Star,type,96,5129553,0.000019
Taxon,taxonRank,73,2707146,0.000027
Taxon,type,56,5485735,0.000010
Chemical_compound,weight,44,46,0.956522
Galaxy,type,39,4012347,0.000010
Person,faxNumber,30,30,1.000000
Chemical_compound,url,26,26,1.000000
AdministrativeArea,faxNumber,25,25,1.000000
AdministrativeArea,parentOrganization,25,139,0.179856
Chemical_compound,isInvolvedInBiologicalProcess,23,23,1.000000
Person,weight,22,22,1.000000
Chemical_compound,hasMolecularFunction,17,17,1.000000
Person,netWorth,16,19,0.842105
Person,gender,15,5676543,0.000003
Taxon,containedInPlace,14,14,1.000000
AdministrativeArea,knowsLanguage,14,15,0.933333
AdministrativeArea,iataCode,12,12,1.000000
AdministrativeArea,foundingLocation,11,11,1.000000
Taxon,url,9,9,1.000000
Person,callSign,8,8,1.000000
Taxon,award,7,21,0.333333
Chemical_compound,isLocatedInSubcellularLocation,7,9,0.777778
Chemical_compound,isEncodedByBioChemEntity,5,8,0.625000
Person,logo,3,3,1.000000
AdministrativeArea,sport,3,6,0.500000
Person,material,2,3,0.666667
Taxon,datePublished,2,2,1.000000
Taxon,geo,2,2,1.000000
Chemical_compound,encodesBioChemEntity,2,2,1.000000
Chemical_compound,legalStatus,2,9,0.222222
Chemical_compound,material,2,2,1.000000
Person,brand,1,1,1.000000
Taxon,isPartOf,1,1,1.000000
Taxon,pagination,1,1,1.000000
Star,containedInPlace,1,2,0.500000
AdministrativeArea,sponsor,1,1,1.000000
Chemical_compound,award,1,1,1.000000
Chemical_compound,provider,1,1,1.000000
