class,predicate,entropy_bits,values,distinct_values
Person,label,25.667374,61894458,57457277
Human,label,25.666230,61848838,57413678
Taxon,label,25.266705,40550935,40421000
Organization,label,23.454245,13072503,12224767
AdministrativeArea,label,23.280541,20268021,15208914
Person,sameAs,23.197371,9618447,9618438
Human,sameAs,23.194537,9599569,9599561
Person,sameAs,23.019589,8503308,8503294
Human,sameAs,23.017274,8489670,8489656
Taxon,sameAs,22.845377,7536047,7536047
AdministrativeArea,sameAs,22.714331,6881690,6881689
Landform,label,22.517872,9427243,7780065
Organization,sameAs,22.501292,5936958,5936957
BioChemEntity,label,22.450422,7355615,6602680
Person,alternateName,22.441476,6580236,6179153
Human,alternateName,22.438216,6566860,6166049
Landform,sameAs,22.176882,4741403,4741402
BioChemEntity,sameAs,21.649443,3289518,3289515
Taxon,sameAs,21.630865,3247755,3247519
Landform,sameAs,21.613430,3208430,3208421
Organization,sameAs,21.500691,2967308,2967260
Landform,geo,21.415609,2871434,2824502
GeoCoordinates,longitude,21.346252,6372580,3864956
AdministrativeArea,sameAs,21.302780,2586929,2586892
Organization,alternateName,20.826239,1986347,1925433
GeoCoordinates,latitude,20.708863,6358105,3182870
AdministrativeArea,alternateName,20.354208,1451896,1392922
AdministrativeArea,containsPlace,19.892126,1015598,986880
BioChemEntity,encodesBioChemEntity,19.825081,949669,939341
BioChemEntity,isEncodedByBioChemEntity,19.800384,933012,919457
Taxon,alternateName,19.644854,848831,837777
AdministrativeArea,geo,19.380937,725129,699117
Organization,url,19.125008,609869,591433
BioChemEntity,alternateName,18.944949,3752913,2033451
Landform,alternateName,18.351979,345115,339406
Taxon,image,17.462129,243531,195869
Landform,image,16.876444,130729,124478
Person,comment,15.993278,37337785,4509219
Human,comment,15.990687,37317467,4504082
AdministrativeArea,containedInPlace,15.803538,1958472,155024
Taxon,parentTaxon,15.778647,2722780,289152
Human,birthDate,14.908000,3891338,143713
Person,birthDate,14.907995,3891440,143714
Organization,comment,14.034458,5706434,946430
Organization,location,13.876755,1430912,126503
Organization,containedInPlace,13.657457,1108236,111688
AdministrativeArea,location,13.065404,335693,37975
Landform,comment,12.056655,14672119,648892
Landform,containedInPlace,11.665743,2314256,54536
Landform,elevation,11.421077,4253,3115
Person,givenName,10.917462,3836212,44511
Human,givenName,10.917272,3835960,44503
BioChemEntity,isInvolvedInBiologicalProcess,10.539913,1135374,15931
Organization,foundingDate,9.704262,627409,38757
Taxon,comment,8.470386,42957212,512911
AdministrativeArea,comment,8.307885,34727533,411224
BioChemEntity,hasMolecularFunction,8.286435,1139331,6497
BioChemEntity,comment,8.190918,22776448,1628882
Person,hasOccupation,7.032423,4964719,5838
Human,hasOccupation,7.032177,4964410,5837
BioChemEntity,isLocatedInSubcellularLocation,5.851586,797133,2364
Organization,type,4.576480,10238856,2777
Landform,type,3.349300,13577461,1285
AdministrativeArea,type,3.140451,7711235,1481
BioChemEntity,type,2.607244,11221249,408
Taxon,award,2.127388,21,7
Person,type,1.589151,19295299,181
Human,type,1.587342,19270720,107
Taxon,type,1.060773,5485735,56
Taxon,taxonRank,1.025027,2707146,73
Human,gender,0.765829,5675399,15
Person,gender,0.765813,5676543,15
GeoCoordinates,type,0.000000,6335654,1
