class,predicate,entropy_bits,values,distinct_values
Person,label,25.667374,61894458,57457277
Taxon,label,25.266705,40550935,40421000
AdministrativeArea,label,23.280541,20268021,15208914
Person,sameAs,23.197371,9618447,9618438
Person,sameAs,23.019589,8503308,8503294
Taxon,sameAs,22.845377,7536047,7536047
AdministrativeArea,sameAs,22.714331,6881690,6881689
Person,alternateName,22.441476,6580236,6179153
Taxon,sameAs,21.630865,3247755,3247519
Galaxy,label,21.385940,2740549,2740432
AdministrativeArea,sameAs,21.302780,2586929,2586892
Star,label,21.231866,2462943,2462838
Star,sameAs,20.708607,1713609,1713609
AdministrativeArea,alternateName,20.354208,1451896,1392922
Galaxy,sameAs,20.351850,1338189,1338189
Chemical_compound,label,20.189991,1197646,1196592
Chemical_compound,sameAs,19.988011,1039900,1039899
AdministrativeArea,containsPlace,19.892126,1015598,986880
Taxon,alternateName,19.644854,848831,837777
AdministrativeArea,geo,19.380937,725129,699117
Chemical_compound,alternateName,17.926327,274178,264501
Taxon,image,17.462129,243531,195869
Chemical_compound,sameAs,17.310231,162517,162517
Galaxy,sameAs,17.241695,154977,154977
Person,comment,15.993278,37337785,4509219
AdministrativeArea,containedInPlace,15.803538,1958472,155024
Taxon,parentTaxon,15.778647,2722780,289152
Star,sameAs,15.524450,47133,47133
Star,alternateName,15.142339,36480,36373
Person,birthDate,14.907995,3891440,143714
Galaxy,alternateName,14.679098,26258,26240
AdministrativeArea,location,13.065404,335693,37975
Galaxy,image,12.062012,4450,4336
Person,givenName,10.917462,3836212,44511
Chemical_compound,image,10.891632,1910,1903
Chemical_compound,inChIKey,9.753217,863,863
Chemical_compound,smiles,9.420373,789,714
Taxon,comment,8.470386,42957212,512911
AdministrativeArea,comment,8.307885,34727533,411224
Star,image,8.119116,315,295
Person,hasOccupation,7.032423,4964719,5838
Chemical_compound,bioChemInteraction,5.855923,1501,113
Chemical_compound,comment,5.828951,16081403,6651
Star,comment,5.478160,312905,3483
Galaxy,comment,5.043762,6064874,2073
AdministrativeArea,type,3.140451,7711235,1481
Taxon,award,2.127388,21,7
Chemical_compound,type,2.050389,4080358,176
Star,type,1.600553,5129553,96
Galaxy,type,1.593953,4012347,39
Person,type,1.589151,19295299,181
Taxon,type,1.060773,5485735,56
Taxon,taxonRank,1.025027,2707146,73
Person,gender,0.765813,5676543,15
Star,containedInPlace,0.000000,2,1
