value,yago-4,yago-4.5.0.2,relative_change
entities/http://yago-knowledge.org/resource/United_States/inforank,0.000001,0.000002,1.484768
entities/http://yago-knowledge.org/resource/Switzerland/inforank,0.000001,0.000001,0.994887
entities/http://yago-knowledge.org/resource/Poland/inforank,0.000001,0.000001,0.942077
entities/http://yago-knowledge.org/resource/Sofía_Ugarriza_Q62752201/inforank,0.000001,0.000001,0.935902
entities/http://yago-knowledge.org/resource/Ecuador/inforank,0.000001,0.000001,0.794945
entities/http://yago-knowledge.org/resource/Basshunter/inforank,0.000001,0.000001,0.753673
entities/http://yago-knowledge.org/resource/Jess_Wade/inforank,0.000001,0.000001,0.729228
entities/http://yago-knowledge.org/resource/Thomas_Dempster/inforank,0.000001,0.000001,0.697507
entities/http://yago-knowledge.org/resource/Myles_Burnyeat/inforank,0.000001,0.000001,0.696927
entities/http://yago-knowledge.org/resource/Mandy_Mystery_Q1889104/inforank,0.000001,0.000001,0.696082
entities/http://yago-knowledge.org/resource/John_Manuel_Cook/inforank,0.000001,0.000001,0.695557
entities/http://yago-knowledge.org/resource/Arthur_Dale_Trendall/inforank,0.000001,0.000001,0.695397
entities/http://yago-knowledge.org/resource/Walter-Herwig_Schuchhardt/inforank,0.000001,0.000001,0.694734
entities/http://yago-knowledge.org/resource/Liselotte_Welskopf-Henrich/inforank,0.000001,0.000001,0.694717
entities/http://yago-knowledge.org/resource/Karl_Jakob_Weber/inforank,0.000001,0.000001,0.690806
entities/http://yago-knowledge.org/resource/Elfriede_Knauer/inforank,0.000001,0.000001,0.688270
entities/http://yago-knowledge.org/resource/Evelyn_Hartnick-Geismeier_Q1381751/inforank,0.000001,0.000001,0.686946
entities/http://yago-knowledge.org/resource/Olwen_Brogan/inforank,0.000001,0.000002,0.685014
entities/http://yago-knowledge.org/resource/Gisela_Richter/inforank,0.000001,0.000001,0.684597
entities/http://yago-knowledge.org/resource/Friederike_Sinn_Q20871698/inforank,0.000001,0.000001,0.684523
entities/http://yago-knowledge.org/resource/Desireé_Cousteau/inforank,0.000002,0.000003,0.678924
entities/http://yago-knowledge.org/resource/Eleni-Alexandra_Amburger_Q20800727/inforank,0.000001,0.000002,0.678479
entities/http://yago-knowledge.org/resource/Attilâ_İlhan/literal_properties,2610.000000,1121.000000,-0.570498
entities/http://yago-knowledge.org/resource/United_States/literal_properties,1247.000000,1841.000000,0.476343
total_literal_properties,1900291874.000000,1129072538.000000,-0.405843
entities/http://yago-knowledge.org/resource/Attilâ_İlhan/inforank,0.000001,0.000001,-0.277124
entities/http://yago-knowledge.org/resource/Switzerland/literal_properties,1209.000000,1433.000000,0.185277
entities/http://yago-knowledge.org/resource/Poland/literal_properties,1449.000000,1672.000000,0.153899
entities/http://yago-knowledge.org/resource/Sofía_Ugarriza_Q62752201/literal_properties,1085.000000,1248.000000,0.150230
entities/http://yago-knowledge.org/resource/Ecuador/literal_properties,1429.000000,1524.000000,0.066480
entities/http://yago-knowledge.org/resource/Basshunter/literal_properties,1144.000000,1192.000000,0.041958
entities/http://yago-knowledge.org/resource/Jess_Wade/literal_properties,1130.000000,1161.000000,0.027434
entities/http://yago-knowledge.org/resource/Thomas_Dempster/literal_properties,1514.000000,1527.000000,0.008587
entities/http://yago-knowledge.org/resource/Myles_Burnyeat/literal_properties,1092.000000,1101.000000,0.008242
entities/http://yago-knowledge.org/resource/Mandy_Mystery_Q1889104/literal_properties,1292.000000,1302.000000,0.007740
entities/http://yago-knowledge.org/resource/John_Manuel_Cook/literal_properties,1077.000000,1085.000000,0.007428
entities/http://yago-knowledge.org/resource/Arthur_Dale_Trendall/literal_properties,1091.000000,1099.000000,0.007333
entities/http://yago-knowledge.org/resource/Walter-Herwig_Schuchhardt/literal_properties,1297.000000,1306.000000,0.006939
entities/http://yago-knowledge.org/resource/Liselotte_Welskopf-Henrich/literal_properties,1299.000000,1308.000000,0.006928
entities/http://yago-knowledge.org/resource/Karl_Jakob_Weber/literal_properties,1303.000000,1309.000000,0.004605
entities/http://yago-knowledge.org/resource/Elfriede_Knauer/literal_properties,1291.000000,1295.000000,0.003098
entities/http://yago-knowledge.org/resource/Eleni-Alexandra_Amburger_Q20800727/literal_properties,2574.000000,2567.000000,-0.002720
entities/http://yago-knowledge.org/resource/Desireé_Cousteau/literal_properties,3259.000000,3251.000000,-0.002455
entities/http://yago-knowledge.org/resource/Evelyn_Hartnick-Geismeier_Q1381751/literal_properties,1298.000000,1301.000000,0.002311
entities/http://yago-knowledge.org/resource/Olwen_Brogan/literal_properties,2578.000000,2581.000000,0.001164
entities/http://yago-knowledge.org/resource/Gisela_Richter/literal_properties,1092.000000,1093.000000,0.000916
entities/http://yago-knowledge.org/resource/Friederike_Sinn_Q20871698/literal_properties,1147.000000,1148.000000,0.000872
