value,yago-4,yago-4.5.0.2,relative_change
nodes/http://yago-knowledge.org/resource/California/rank_shift,1.000000,-511.000000,-512.000000
nodes/http://yago-knowledge.org/resource/Gaziantep_Province/rank_shift,-1.000000,223.000000,224.000000
nodes/http://yago-knowledge.org/resource/Sakarya_Province/rank_shift,-1.000000,196.000000,197.000000
nodes/http://yago-knowledge.org/resource/London_Borough_of_Camden/rank_shift,1.000000,172.000000,171.000000
nodes/http://yago-knowledge.org/resource/Repton_School/rank_shift,3.000000,470.000000,155.666667
nodes/http://yago-knowledge.org/resource/Edward_VII/rank_shift,2.000000,175.000000,86.500000
nodes/http://yago-knowledge.org/resource/Pomeranian_Voivodeship/rank_shift,-2.000000,144.000000,73.000000
nodes/http://yago-knowledge.org/resource/France/unweighted,0.325691,23.535517,71.263438
nodes/http://yago-knowledge.org/resource/Italy/unweighted,0.170239,10.840971,62.681063
nodes/http://yago-knowledge.org/resource/British_Academy/rank_shift,3.000000,183.000000,60.000000
nodes/http://yago-knowledge.org/resource/Chimborazo_Province/rank_shift,2.000000,-106.000000,-54.000000
nodes/http://yago-knowledge.org/resource/Silesian_Voivodeship/rank_shift,1.000000,55.000000,54.000000
nodes/http://yago-knowledge.org/resource/Gold_Medal_Award_for_Distinguished_Archaeological_Achievement/rank_shift,1.000000,54.000000,53.000000
nodes/http://yago-knowledge.org/resource/Belgium/unweighted,0.170239,8.624177,49.659373
nodes/http://yago-knowledge.org/resource/Lower_Silesian_Voivodeship/rank_shift,2.000000,96.000000,47.000000
nodes/http://yago-knowledge.org/resource/West_Pomeranian_Voivodeship/rank_shift,-2.000000,87.000000,44.500000
nodes/http://yago-knowledge.org/resource/Bursa/rank_shift,7.000000,310.000000,43.285714
nodes/http://yago-knowledge.org/resource/Asunción/rank_shift,4.000000,169.000000,41.250000
nodes/http://yago-knowledge.org/resource/Arth/rank_shift,6.000000,251.000000,40.833333
nodes/http://yago-knowledge.org/resource/Emily_Davies/rank_shift,-6.000000,237.000000,40.500000
nodes/http://yago-knowledge.org/resource/Weimar/rank_shift,16.000000,-589.000000,-37.812500
nodes/http://yago-knowledge.org/resource/California/rank_weighted,27.000000,997.000000,35.925926
nodes/http://yago-knowledge.org/resource/France/entropy_weighted,0.194131,6.157891,30.720244
nodes/http://yago-knowledge.org/resource/Hochschule_für_Grafik_und_Buchkunst_Leipzig/rank_shift,14.000000,439.000000,30.357143
nodes/http://yago-knowledge.org/resource/Weißensee_Academy_of_Art_Berlin/rank_shift,14.000000,439.000000,30.357143
nodes/http://yago-knowledge.org/resource/Royal_Netherlands_Academy_of_Arts_and_Sciences/rank_shift,8.000000,249.000000,30.125000
nodes/http://yago-knowledge.org/resource/Republic_of_Ireland/unweighted,0.170239,5.112224,29.029773
nodes/http://yago-knowledge.org/resource/Freiburg_im_Breisgau/rank_shift,10.000000,294.000000,28.400000
nodes/http://yago-knowledge.org/resource/Lubusz_Voivodeship/rank_shift,-3.000000,79.000000,27.333333
nodes/http://yago-knowledge.org/resource/Italy/entropy_weighted,0.159627,4.392995,26.520452
nodes/http://yago-knowledge.org/resource/Erotic_Film_Awards_Q15144094/rank_shift,-17.000000,408.000000,25.000000
nodes/http://yago-knowledge.org/resource/List_of_members_of_the_AVN_Hall_of_Fame/rank_shift,-17.000000,408.000000,25.000000
nodes/http://yago-knowledge.org/resource/List_of_members_of_the_XRCO_Hall_of_Fame/rank_shift,-17.000000,408.000000,25.000000
nodes/http://yago-knowledge.org/resource/World_Meteorological_Organization/unweighted,0.198864,5.107531,24.683570
nodes/http://yago-knowledge.org/resource/Netherlands/unweighted,0.397674,10.198693,24.645836
nodes/http://yago-knowledge.org/resource/Benjamin_Franklin/rank_shift,10.000000,254.000000,24.400000
nodes/http://yago-knowledge.org/resource/Turkey/unweighted,0.287808,6.387008,21.191890
nodes/http://yago-knowledge.org/resource/American_Philosophical_Society/rank_shift,-12.000000,237.000000,20.750000
nodes/http://yago-knowledge.org/resource/Rome_Prize/rank_shift,4.000000,86.000000,20.500000
nodes/http://yago-knowledge.org/resource/American_Academy_of_Arts_and_Sciences/rank_shift,7.000000,149.000000,20.285714
nodes/http://yago-knowledge.org/resource/Holyhead/rank_shift,23.000000,486.000000,20.130435
nodes/http://yago-knowledge.org/resource/OECD/rank_shift,-1.000000,-21.000000,-20.000000
nodes/http://yago-knowledge.org/resource/Bezirk_Potsdam/rank_shift,-5.000000,93.000000,19.600000
nodes/http://yago-knowledge.org/resource/Marie_de_St_Pol/rank_shift,17.000000,336.000000,18.764706
nodes/http://yago-knowledge.org/resource/Royal_Borough_of_Kensington_and_Chelsea/rank_shift,-10.000000,162.000000,17.200000
nodes/http://yago-knowledge.org/resource/Hanover_Region/rank_shift,6.000000,109.000000,17.166667
nodes/http://yago-knowledge.org/resource/California/rank_unweighted,28.000000,486.000000,16.357143
nodes/http://yago-knowledge.org/resource/Karlsruhe_Institute_of_Technology/rank_shift,28.000000,481.000000,16.178571
nodes/http://yago-knowledge.org/resource/Dubai/rank_shift,-13.000000,197.000000,16.153846
nodes/http://yago-knowledge.org/resource/Great_Britain/rank_shift,9.000000,-136.000000,-16.111111
nodes/http://yago-knowledge.org/resource/Denmark/unweighted,0.170239,2.861000,15.805831
nodes/http://yago-knowledge.org/resource/Göttingen/rank_shift,21.000000,-310.000000,-15.761905
nodes/http://yago-knowledge.org/resource/Glasgow/rank_shift,31.000000,506.000000,15.322581
nodes/http://yago-knowledge.org/resource/Social_Democratic_Party_of_Germany/rank_shift,10.000000,160.000000,15.000000
nodes/http://yago-knowledge.org/resource/Upper_Bavaria/rank_shift,4.000000,64.000000,15.000000
nodes/http://yago-knowledge.org/resource/Geneva/unweighted,0.731110,11.456513,14.670017
nodes/http://yago-knowledge.org/resource/Opole_Voivodeship/rank_shift,7.000000,109.000000,14.571429
nodes/http://yago-knowledge.org/resource/Harvard_University/rank_shift,8.000000,120.000000,14.000000
nodes/http://yago-knowledge.org/resource/Munich/rank_shift,5.000000,75.000000,14.000000
nodes/http://yago-knowledge.org/resource/Mallorca/rank_shift,-12.000000,153.000000,13.750000
nodes/http://yago-knowledge.org/resource/Hungary/unweighted,0.170239,2.498841,13.678467
nodes/http://yago-knowledge.org/resource/Denis_William_Brogan/rank_shift,45.000000,655.000000,13.555556
nodes/http://yago-knowledge.org/resource/Belgium/entropy_weighted,0.159627,2.240477,13.035741
nodes/http://yago-knowledge.org/resource/Freiburg_im_Breisgau/rank_unweighted,61.000000,851.000000,12.950820
nodes/http://yago-knowledge.org/resource/Czech_Republic/unweighted,0.170239,2.250080,12.217217
nodes/http://yago-knowledge.org/resource/Luxembourg/unweighted,0.170239,2.225438,12.072468
nodes/http://yago-knowledge.org/resource/Olwen_Brogan/rank_shift,51.000000,661.000000,11.960784
nodes/http://yago-knowledge.org/resource/Communist_Party_of_Germany/rank_shift,13.000000,168.000000,11.923077
nodes/http://yago-knowledge.org/resource/Chimborazo_Province/rank_weighted,91.000000,1170.000000,11.857143
nodes/http://yago-knowledge.org/resource/Giessen/rank_shift,20.000000,252.000000,11.600000
nodes/http://yago-knowledge.org/resource/Philip_II_of_Spain/rank_shift,27.000000,340.000000,11.592593
nodes/http://yago-knowledge.org/resource/Henry_VI_of_England/rank_shift,27.000000,337.000000,11.481481
nodes/http://yago-knowledge.org/resource/Socialist_Unity_Party_of_Germany/rank_shift,13.000000,161.000000,11.384615
nodes/http://yago-knowledge.org/resource/Paris/unweighted,0.948292,11.571458,11.202422
nodes/http://yago-knowledge.org/resource/Turkey/entropy_weighted,0.239672,2.893927,11.074556
nodes/http://yago-knowledge.org/resource/Hessischer_Städtetag_Q26882604/rank_shift,-19.000000,-225.000000,-10.842105
nodes/http://yago-knowledge.org/resource/Istanbul/unweighted,0.158500,1.814375,10.447160
nodes/http://yago-knowledge.org/resource/Chimborazo_Province/rank_unweighted,93.000000,1064.000000,10.440860
nodes/http://yago-knowledge.org/resource/Freiburg_im_Breisgau/rank_weighted,51.000000,557.000000,9.921569
